generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1270000,6,28.2386,39.3614,2.42815,0.38975
1280000,6,24.2527,34.0369,5.82237,0.3856
1290000,5,25.5226,62.7212,3.60985,0.3714
1300000,6,22.1268,33.5818,2.87151,0.385062
1310000,3,16.625,36.648,1.27513,0.36385
1320000,3,15.402,48.0487,1.36262,0.362775
1330000,4,20.0661,65.6663,1.09422,0.376
1340000,3,13.327,33.1113,3.94591,0.37
1350000,4,19.7762,47.5855,1.37224,0.375828
1360000,6,24.5344,34.7925,2.55827,0.37235
1370000,5,25.8607,52.7522,2.77812,0.364617
1380000,8,32.0726,40.9511,3.79893,0.377367
1390000,4,21.366,38.9751,1.43716,0.3864
1400000,8,32.2843,21.5671,5.98135,0.384383
1410000,4,20.3356,46.3106,2.44233,0.3783
1420000,6,29.1995,56.151,3.33082,0.37705
1430000,5,24.1784,59.653,2.71801,0.3732
1440000,3,13.7459,40.8734,2.20032,0.3855
1450000,6,25.0517,53.0749,3.02916,0.3826
1460000,3,8.15164,56.3728,3.03425,0.3603
1470000,6,25.1691,49.6948,4.31897,0.36675
1480000,6,25.6631,48.7981,3.8676,0.3463
1490000,6,25.6393,72.0542,2.5284,0.3601
1500000,3,13.9642,46.0617,0.912216,0.3671
1510000,3,15.5669,49.4605,1.09898,0.372225
1520000,4,17.1254,43.2943,2.24533,0.3639
1530000,6,20.8239,41.8848,2.64202,0.34755
1540000,3,18.5168,39.5989,1.61568,0.388653
1550000,9,42.2555,45.3892,5.84374,0.346233
1560000,8,36.3031,43.9687,4.69092,0.37965
1570000,5,22.6989,41.4415,3.12895,0.3573
1580000,4,16.5511,44.3936,2.32908,0.376033
1590000,6,24.0701,48.5254,3.02995,0.36625
1600000,5,22.8343,35.4105,3.98424,0.3628
1610000,8,36.3918,38.0691,4.35954,0.3718
1620000,13,59.8865,48.2095,6.83134,0.37115
1630000,4,21.3474,27.8124,3.37891,0.369529
1640000,3,17.4169,37.5843,1.53952,0.3675
1650000,4,20.3241,49.7203,0.885034,0.3835
1660000,4,22.4438,46.112,1.79559,0.3482
1670000,3,18.0781,48.5508,1.37991,0.36155
1680000,6,25.604,51.7448,2.78899,0.367233
1690000,5,20.484,55.2873,1.8582,0.354822
1700000,4,18.7356,31.5703,1.19793,0.383433
1710000,6,29.8099,29.1018,3.19767,0.376433
1720000,5,21.1981,71.1121,2.02841,0.3708
1730000,3,17.3128,37.5367,0.931464,0.394667
1740000,4,22.4842,50.386,3.07765,0.35175
1750000,5,23.5805,42.3549,1.38478,0.3695
1760000,3,14.7975,20.4854,1.50257,0.367729
1770000,3,16.8727,38.6316,0.841818,0.386225
1780000,3,11.4734,31.2019,1.8085,0.40955
1790000,5,19.4196,48.7552,4.64289,0.38735
1800000,6,28.0293,59.8599,5.46071,0.39925
1810000,4,20.5164,58.7472,1.88224,0.3564
1820000,3,13.913,39.8463,1.29373,0.393571
1830000,6,21.5644,44.1803,3.2061,0.3686
1840000,3,16.8104,33.7931,1.48368,0.38482
1850000,6,24.0341,51.1324,2.09442,0.3541
1860000,6,24.7198,49.6388,2.71593,0.3568
1870000,4,20.1525,32.8551,0.325098,0.388587
1880000,4,21.413,31.5863,1.50605,0.3987
