generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
510000,Rana_shuchinae,Rana_johnsi,0,0.323224,-0.0427791,0.0701224,0
520000,Rana_shuchinae,Rana_johnsi,0,0.433073,-0.0214816,0.418927,0
520000,Rana_johnsi,Rana_macrocnemis,5.6402,0.417966,-0.0809302,0.0262893,0
530000,Rana_shuchinae,Rana_johnsi,0,0.0406139,-0.0141728,0.0566188,0
530000,Rana_macrocnemis,NA,33.0305,0.042645,0.00443219,0.639667,0
530000,Rana_johnsi,Rana_macrocnemis,5.4095,0.215932,-0.0427548,0.0405111,0
540000,Rana_shuchinae,Rana_johnsi,0,0.193019,-0.0315656,0.0174434,0
540000,Rana_shuchinae,NA,31.3223,0.210279,0.0244146,0.633478,0
550000,Rana_shuchinae,Rana_johnsi,0,0.0145093,-0.018759,0.158286,0
550000,Rana_zhengi,NA,36.1078,0.128615,0.0167902,0.359536,0
550000,Rana_johnsi,Rana_macrocnemis,5.3437,0.460266,-0.0566642,0.118119,0
560000,Rana_shuchinae,Rana_johnsi,0,0.107893,-0.0241246,0.00754364,0
570000,Rana_shuchinae,Rana_johnsi,0,0.121808,-0.0249938,0.00971912,0
580000,Rana_shuchinae,Rana_johnsi,0,0.312188,-0.0393339,0.0494507,0
580000,Rana_shuchinae,NA,29.8752,0.31115,-0.0309504,0.825755,0
590000,Rana_shuchinae,Rana_johnsi,0,0.206208,-0.0395895,0.0187061,0
600000,Rana_shuchinae,Rana_johnsi,0,0.33297,-0.052363,0.0320744,0
610000,Rana_shuchinae,Rana_johnsi,0,0.374208,-0.0614304,0.0262299,0
610000,Rana_shuchinae,NA,7.24238,0.0616114,0.0930949,0.225238,0
620000,Rana_shuchinae,Rana_johnsi,0,0.200229,-0.0529713,0.00285424,0
630000,Rana_shuchinae,Rana_johnsi,0,0.0975133,-0.012531,0.0271147,0
630000,Rana_ornativentris,NA,31.9842,0.281261,0.0150176,0.106831,0
640000,Rana_shuchinae,Rana_johnsi,0,0.264782,-0.0476877,0.0497913,0
650000,Rana_shuchinae,Rana_johnsi,0,0.105873,-0.0100423,0.0627684,0
660000,Rana_shuchinae,Rana_johnsi,0,0.145112,-0.0247039,0.00607257,0
670000,Rana_shuchinae,Rana_johnsi,0,0.153418,-0.0385372,0.0176766,0
680000,Rana_shuchinae,Rana_johnsi,0,0.424291,-0.0636998,0.0151227,0
690000,Rana_shuchinae,Rana_johnsi,0,0.0394557,-0.0283994,0.0288435,0
690000,Rana_johnsi,Rana_macrocnemis,7.19296,0.222399,-0.0561486,0.0493635,0
700000,Rana_shuchinae,Rana_johnsi,0,0.143864,-0.035056,0.0175389,0
700000,Rana_shuchinae,NA,26.2105,0.00774618,0.0317953,0.584384,0
710000,Rana_shuchinae,Rana_johnsi,0,0.125346,-0.0164932,0.00809363,0
720000,Rana_shuchinae,Rana_johnsi,0,0.0930748,-0.00636149,0.0127069,0
730000,Rana_shuchinae,Rana_johnsi,0,0.400028,-0.0343288,0.302931,0
730000,Rana_johnsi,Rana_macrocnemis,6.60098,0.16493,-0.0484931,0.0231724,0
740000,Rana_shuchinae,Rana_johnsi,0,0.235723,-0.0547223,0.0186561,0
750000,Rana_shuchinae,Rana_johnsi,0,0.215336,-0.0375842,0.056455,0
760000,Rana_shuchinae,Rana_johnsi,0,0.350263,-0.0514418,0.068426,0
770000,Rana_shuchinae,Rana_johnsi,0,0.241883,-0.0600846,0.0171813,0
780000,Rana_shuchinae,Rana_johnsi,0,0.440785,-0.0548847,0.0933828,0
790000,Rana_shuchinae,Rana_johnsi,0,0.49318,-0.0735957,0.00815228,0
790000,Rana_shuchinae,NA,11.6243,0.101026,-0.00565131,0.277147,0
790000,Rana_arvalis,NA,33.1934,0.471828,-0.034303,0.213713,0
800000,Rana_shuchinae,Rana_johnsi,0,0.218975,-0.0437132,0.0196458,0
800000,Rana_tagoi,NA,33.5704,0.0247943,-0.0240583,0.0960394,0
810000,Rana_shuchinae,Rana_johnsi,0,0.178484,-0.0300668,0.0247149,0
810000,Rana_shuchinae,NA,17.1714,0.026674,-0.035608,0.283173,0
820000,Rana_shuchinae,Rana_johnsi,0,0.257095,-0.0584001,0.0136287,0
820000,Rana_shuchinae,NA,4.04432,0.0291414,0.00959688,0.100191,0
820000,Rana_pyrenaica,NA,35.2903,0.513898,-0.0257556,0.299949,0
830000,Rana_shuchinae,Rana_johnsi,0,0.330982,-0.0569529,0.0202568,0
830000,Rana_shuchinae,NA,7.74386,0.0229308,-0.0448613,0.0894852,0
840000,Rana_shuchinae,Rana_johnsi,0,0.227473,-0.0311816,0.023677,0
850000,Rana_shuchinae,Rana_johnsi,0,0.247798,-0.0394113,0.0228191,0
850000,Rana_shuchinae,NA,30.1577,0.0445879,-0.00180353,0.055038,0
860000,Rana_shuchinae,Rana_johnsi,0,0.341988,-0.0612987,0.0204793,0
870000,Rana_shuchinae,Rana_johnsi,0,0.0937937,-0.027501,0.0103148,0
880000,Rana_shuchinae,Rana_johnsi,0,0.222268,-0.0235876,0.0904766,0
890000,Rana_shuchinae,Rana_johnsi,0,0.0932647,-0.0235782,0.00903047,0
900000,Rana_shuchinae,Rana_johnsi,0,0.290601,-0.0419718,0.044897,0
910000,Rana_shuchinae,Rana_johnsi,0,0.110277,-0.0407999,0.00864668,0
920000,Rana_shuchinae,Rana_johnsi,0,0.159054,-0.0245457,0.00338172,0
930000,Rana_shuchinae,Rana_johnsi,0,0.399259,-0.0616116,0.0738164,0
940000,Rana_shuchinae,Rana_johnsi,0,0.220327,-0.0395294,0.05375,0
950000,Rana_shuchinae,Rana_johnsi,0,0.236993,-0.0426893,0.0480466,0
950000,Rana_shuchinae,NA,18.0919,0.0368297,0.0266076,0.134882,0
960000,Rana_shuchinae,Rana_johnsi,0,0.137802,-0.0266527,0.0301215,0
970000,Rana_shuchinae,Rana_johnsi,0,0.160914,-0.0286133,0.0184696,0
980000,Rana_shuchinae,Rana_johnsi,0,0.100821,-0.024444,0.0190845,0
990000,Rana_shuchinae,Rana_johnsi,0,0.332133,-0.0708744,0.00603624,0
1000000,Rana_shuchinae,Rana_johnsi,0,0.130333,-0.0359882,0.0097988,0
1000000,Rana_shuchinae,NA,27.0467,0.183418,0.0153988,0.582928,0
1010000,Rana_shuchinae,Rana_johnsi,0,0.185891,-0.0265233,0.0530445,0
1020000,Rana_shuchinae,Rana_johnsi,0,0.20986,-0.0345801,0.0105344,0
1020000,Rana_shuchinae,NA,20.8414,0.00721404,0.0270118,0.0855504,0
1030000,Rana_shuchinae,Rana_johnsi,0,0.236297,-0.0371233,0.0472805,0
1040000,Rana_shuchinae,Rana_johnsi,0,0.321052,-0.0546477,0.0266711,0
1040000,Rana_tagoi,NA,32.9398,0.112051,0.045712,0.46037,0
1050000,Rana_shuchinae,Rana_johnsi,0,0.226007,-0.0606355,0.002636,0
1060000,Rana_shuchinae,Rana_johnsi,0,0.100804,-0.0163036,0.0253465,0
1070000,Rana_shuchinae,Rana_johnsi,0,0.194994,-0.0500623,0.0139787,0
1080000,Rana_shuchinae,Rana_johnsi,0,0.141335,-0.0261962,0.0302197,0
1080000,Rana_shuchinae,NA,5.16117,0.499047,-0.0640852,0.412786,0
1090000,Rana_shuchinae,Rana_johnsi,0,0.0862142,-0.0153899,0.021936,0
1100000,Rana_shuchinae,Rana_johnsi,0,0.181331,-0.0406618,0.00761975,0
1110000,Rana_shuchinae,Rana_johnsi,0,0.180005,-0.0446686,0.000384254,0
1110000,Rana_zhengi,NA,34.0558,0.0750902,-0.0167546,0.388055,0
1120000,Rana_shuchinae,Rana_johnsi,0,0.16304,-0.0399016,0.0189938,0
1130000,Rana_shuchinae,Rana_johnsi,0,0.301451,-0.0486963,0.0125727,0
1140000,Rana_shuchinae,Rana_johnsi,0,0.223984,-0.0510624,0.0213813,0
1150000,Rana_shuchinae,Rana_johnsi,0,0.110274,-0.0186106,0.0101007,0
1160000,Rana_shuchinae,Rana_johnsi,0,0.292445,-0.0641469,0.0280589,0
1170000,Rana_shuchinae,Rana_johnsi,0,0.128153,-0.0409951,0.00847914,0
1180000,Rana_shuchinae,Rana_johnsi,0,0.391813,-0.0724608,0.0301202,0
1190000,Rana_shuchinae,Rana_johnsi,0,0.137824,-0.0335293,0.0054918,0
1200000,Rana_shuchinae,Rana_johnsi,0,0.389948,-0.0513922,0.111315,0
1210000,Rana_shuchinae,Rana_johnsi,0,0.244182,-0.054312,0.0149651,0
1210000,Rana_shuchinae,NA,31.3127,0.0587554,-0.0157451,0.543369,0
1220000,Rana_shuchinae,Rana_johnsi,0,0.0843325,-0.0184216,0.0162977,0
1230000,Rana_shuchinae,Rana_johnsi,0,0.316823,-0.0604114,0.0192595,0
1230000,Rana_shuchinae,NA,8.1396,0.245799,-0.0324512,0.158056,0
1240000,Rana_shuchinae,Rana_johnsi,0,0.226122,-0.0479654,0.0138116,0
1250000,Rana_shuchinae,Rana_johnsi,0,0.144839,-0.0346415,0.00384717,0
1250000,Rana_arvalis,NA,27.4652,0.0617306,0.0333294,0.000533124,0
1250000,Rana_arvalis,NA,34.4428,0.39622,0.00933632,0.824262,0
1250000,Rana_longicrus,NA,30.635,0.110053,0.0367307,0.190658,0
1260000,Rana_shuchinae,Rana_johnsi,0,0.11754,-0.014373,0.0057341,0
1270000,Rana_shuchinae,Rana_johnsi,0,0.193355,-0.0480642,0.0127779,0
1270000,Rana_shuchinae,NA,12.7596,0.211765,-0.0613136,0.455943,0
1270000,Rana_zhengi,NA,35.9296,0.199054,-0.00799748,0.186244,0
1280000,Rana_shuchinae,Rana_johnsi,0,0.278993,-0.0417236,0.0542759,0
1290000,Rana_shuchinae,Rana_johnsi,0,0.143544,-0.0349381,0.030587,0
1300000,Rana_shuchinae,Rana_johnsi,0,0.0970269,-0.0231839,0.0122582,0
1310000,Rana_shuchinae,Rana_johnsi,0,0.0972061,0.0225869,0.036413,0
1310000,Rana_johnsi,Rana_macrocnemis,3.48141,0.253559,-0.0506388,0.0340685,0
1320000,Rana_shuchinae,Rana_johnsi,0,0.103255,0.0442711,0.189501,0
1320000,Rana_johnsi,Rana_macrocnemis,3.14354,0.229307,-0.0448842,0.0240741,0
1330000,Rana_shuchinae,Rana_johnsi,0,0.0404292,-0.0312351,0.0515953,0
1330000,Rana_johnsi,Rana_macrocnemis,3.12751,0.25367,-0.043953,0.0192461,0
1340000,Rana_shuchinae,Rana_johnsi,0,0.192012,-0.0383328,0.0345601,0
1350000,Rana_shuchinae,Rana_johnsi,0,0.272015,-0.0408168,0.0912831,0
1360000,Rana_shuchinae,Rana_johnsi,0,0.222248,-0.03756,0.0258271,0
1370000,Rana_shuchinae,Rana_johnsi,0,0.113478,-0.0181658,0.00607555,0
1380000,Rana_shuchinae,Rana_johnsi,0,0.548776,-0.0706142,0.0604253,0
1390000,Rana_shuchinae,Rana_johnsi,0,0.185831,-0.0297118,0.0182645,0
1400000,Rana_shuchinae,Rana_johnsi,0,0.134704,-0.0413177,0.0220472,0
1410000,Rana_shuchinae,Rana_johnsi,0,0.148118,-0.0321331,0.00786026,0
1420000,Rana_shuchinae,Rana_johnsi,0,0.191948,-0.0297812,0.0243145,0
1430000,Rana_shuchinae,Rana_johnsi,0,0.346791,-0.0667641,0.0162476,0
1440000,Rana_shuchinae,Rana_johnsi,0,0.139015,-0.040961,0.0149982,0
1450000,Rana_shuchinae,Rana_johnsi,0,0.161733,-0.0173098,0.026271,0
1460000,Rana_shuchinae,Rana_johnsi,0,0.242229,-0.0478933,0.0381315,0
