generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
610000,Rana_sylvatica,NA,13.0696,0.100556,0.0375224,0.399138,0
620000,Rana_sylvatica,Rana_septentrionalis,0,0.176511,-0.0487672,0.0101187,0
630000,Rana_sylvatica,Rana_septentrionalis,0,0.2126,-0.0375526,0.0133365,0
640000,Rana_sylvatica,Rana_septentrionalis,0,0.147735,-0.0300414,0.00972222,0
650000,Rana_sylvatica,Rana_septentrionalis,0,0.200173,-0.026488,0.0863874,0
660000,Rana_sylvatica,Rana_septentrionalis,0,0.178347,-0.022265,0.0494881,0
670000,Rana_sylvatica,Rana_septentrionalis,0,0.0799493,-0.0118936,0.0102284,0
680000,Rana_sylvatica,Rana_septentrionalis,0,0.151294,-0.0368465,0.0173984,0
680000,Rana_sylvatica,NA,22.4615,0.355056,-0.028981,0.679589,0
690000,Rana_sylvatica,Rana_septentrionalis,0,0.341909,-0.0411095,0.103324,0
690000,Rana_sylvatica,NA,16.6401,0.128127,0.0363732,0.463244,0
700000,Rana_sylvatica,Rana_septentrionalis,0,0.315895,-0.049156,0.0515476,0
710000,Rana_sylvatica,Rana_septentrionalis,0,0.0767443,-0.00403877,0.00565158,0
720000,Rana_sylvatica,Rana_septentrionalis,0,0.17982,-0.0487623,0.0236016,0
730000,Rana_sylvatica,Rana_septentrionalis,0,0.0995569,-0.0133074,0.0111497,0
740000,Rana_sylvatica,Rana_septentrionalis,0,0.0864323,-0.0162137,0.0090854,0
750000,Rana_sylvatica,Rana_septentrionalis,0,0.203243,-0.0309334,0.0785845,0
760000,Rana_sylvatica,Rana_septentrionalis,0,0.406076,-0.059419,0.0515655,0
760000,Rana_sylvatica,NA,19.2178,0.271967,-0.0466237,0.534804,0
770000,Rana_sylvatica,Rana_septentrionalis,0,0.151555,-0.0291842,0.0217551,0
780000,Rana_sylvatica,Rana_septentrionalis,0,0.2472,-0.0357482,0.073535,0
790000,Rana_sylvatica,Rana_septentrionalis,0,0.225656,-0.0577086,0.0504718,0
800000,Rana_sylvatica,Rana_septentrionalis,0,0.173732,-0.0377319,0.0113264,0
810000,Rana_sylvatica,Rana_septentrionalis,0,0.159779,-0.032835,0.0122113,0
820000,Rana_sylvatica,Rana_septentrionalis,0,0.188085,-0.0486208,0.0358701,0
820000,Rana_tarahumarae,NA,34.9799,0.000198435,-0.0663457,0.374794,0
830000,Rana_sylvatica,Rana_septentrionalis,0,0.080313,0.00268894,0.0336927,0
840000,Rana_sylvatica,Rana_septentrionalis,0,0.18153,-0.0371606,0.0358117,0
850000,Rana_sylvatica,Rana_septentrionalis,0,0.143477,-0.0279508,0.0259866,0
850000,Rana_sylvatica,NA,20.2666,0.386145,-0.0158989,0.568719,0
860000,Rana_sylvatica,Rana_septentrionalis,0,0.18195,-0.0289966,0.00209805,0
870000,Rana_sylvatica,Rana_septentrionalis,0,0.294614,-0.0348488,0.0945949,0
880000,Rana_sylvatica,Rana_septentrionalis,0,0.179533,-0.0291832,0.0253535,0
890000,Rana_sylvatica,Rana_septentrionalis,0,0.170259,-0.0394498,0.0120488,0
890000,Rana_sylvatica,NA,17.4081,0.334371,-0.00050817,0.515572,0
900000,Rana_sylvatica,Rana_septentrionalis,0,0.123522,-0.0213844,0.00600245,0
910000,Rana_sylvatica,Rana_septentrionalis,0,0.101884,-0.0286623,0.00162032,0
920000,Rana_sylvatica,Rana_septentrionalis,0,0.128378,-0.029082,0.0213549,0
930000,Rana_sylvatica,Rana_septentrionalis,0,0.211703,-0.0245537,0.0423494,0
940000,Rana_sylvatica,Rana_septentrionalis,0,0.122,-0.0154729,0.0100906,0
940000,Rana_sylvatica,NA,7.59523,0.00991319,0.0189674,0.142512,0
950000,Rana_sylvatica,Rana_septentrionalis,0,0.263099,-0.0519171,0.0109141,0
960000,Rana_sylvatica,Rana_septentrionalis,0,0.387366,-0.0392692,0.132213,0
970000,Rana_sylvatica,Rana_septentrionalis,0,0.198612,-0.0434784,0.00830377,0
980000,Rana_sylvatica,Rana_septentrionalis,0,0.145951,-0.0122845,0.0625341,0
990000,Rana_sylvatica,Rana_septentrionalis,0,0.193755,-0.0419221,0.00921893,0
1000000,Rana_sylvatica,Rana_septentrionalis,0,0.110262,-0.00673408,0.0306579,0
1010000,Rana_sylvatica,Rana_septentrionalis,0,0.116878,-0.0359717,0.0128541,0
1020000,Rana_sylvatica,Rana_septentrionalis,0,0.164015,-0.0293811,0.0188399,0
1030000,Rana_sylvatica,Rana_septentrionalis,0,0.17814,-0.00079155,0.125841,0
1030000,Rana_sierramadrensis,NA,35.8681,0.413567,0.0237321,0.719607,0
1030000,Rana_septentrionalis,Rana_maculata,1.62784,0.186584,-0.0259657,0.0190031,0
1040000,Rana_sylvatica,Rana_septentrionalis,0,0.0356417,-0.0418125,0.216361,0
1040000,Rana_septentrionalis,Rana_maculata,0.592526,0.330942,-0.0386722,0.122508,0
1050000,Rana_sylvatica,Rana_septentrionalis,0,0.135533,-0.0240225,0.0201919,0
1060000,Rana_sylvatica,Rana_septentrionalis,0,0.190121,-0.038452,0.0320579,0
1070000,Rana_sylvatica,Rana_septentrionalis,0,0.0916067,-0.0152992,0.0214676,0
1080000,Rana_sylvatica,Rana_septentrionalis,0,0.274003,-0.0652056,0.0166278,0
1090000,Rana_sylvatica,Rana_septentrionalis,0,0.20043,-0.0391186,0.0121036,0
1100000,Rana_sylvatica,Rana_septentrionalis,0,0.0608582,-0.0108933,0.00344661,0
1100000,Rana_areolata,NA,29.2326,0.0649406,-0.0277026,0.143086,0
1110000,Rana_sylvatica,Rana_septentrionalis,0,0.0961816,-0.0194709,0.00322893,0
1110000,Rana_vaillanti,NA,36.9757,0.112959,0.0209713,0.489917,0
1120000,Rana_sylvatica,Rana_septentrionalis,0,0.185006,-0.0309955,0.0211092,0
1130000,Rana_sylvatica,Rana_septentrionalis,0,0.130617,-0.00409267,0.189566,0
1130000,Rana_septentrionalis,Rana_maculata,1.26104,0.285354,-0.0344599,0.0713184,0
1140000,Rana_sylvatica,Rana_septentrionalis,0,0.161262,-0.0320496,0.00614903,0
1150000,Rana_sylvatica,Rana_septentrionalis,0,0.0900713,-0.00901652,0.0401566,0
1160000,Rana_sylvatica,Rana_septentrionalis,0,0.288184,-0.0366286,0.080746,0
1160000,Rana_sylvatica,NA,20.963,0.0593638,0.0494926,0.246357,0
1170000,Rana_sylvatica,Rana_septentrionalis,0,0.129707,-0.0212104,0.00950944,0
1180000,Rana_sylvatica,Rana_septentrionalis,0,0.202563,-0.0357967,0.0196879,0
1190000,Rana_sylvatica,Rana_septentrionalis,0,0.168395,-0.0332416,0.0180208,0
1190000,Rana_septentrionalis,NA,25.1945,0.0355132,-0.0210001,0.00113667,0
1200000,Rana_sylvatica,Rana_septentrionalis,0,0.238309,-0.0398064,0.0206508,0
1210000,Rana_sylvatica,Rana_septentrionalis,0,0.0819344,0.000809402,0.0286264,0
1210000,Rana_sylvatica,NA,14.3233,0.403053,-0.0696625,0.392146,0
1220000,Rana_sylvatica,Rana_septentrionalis,0,0.28296,-0.035153,0.104468,0
1230000,Rana_sylvatica,Rana_septentrionalis,0,0.087099,4.85625e-005,0.0140847,0
1240000,Rana_sylvatica,Rana_septentrionalis,0,0.037204,0.0184663,0.00611082,0
1240000,Rana_montezumae,Rana_dunni,33.4519,0.151566,-0.0281208,0.404141,0
