generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1260000,0,6.35381,38.7392,0.0611856,0.4058
1270000,0,5.82968,32.0105,0.0869872,0.411817
1280000,0,5.72993,37.9989,0.254145,0.413737
1290000,5,30.9092,35.7063,3.25719,0.4385
1300000,1,10.6936,30.9577,1.49782,0.4336
1310000,0,5.45823,32.022,0.620321,0.4434
1320000,0,6.09402,32.6487,0.243099,0.4516
1330000,0,6.29441,40.1369,0.372772,0.420633
1340000,2,14.8433,34.0281,0.699791,0.42218
1350000,0,5.93367,40.5106,0.29266,0.4182
1360000,0,6.63912,37.5102,0.109766,0.419375
1370000,1,10.8979,27.237,1.26862,0.4031
1380000,0,5.94581,36.3814,0.774027,0.41215
1390000,1,11.2125,37.2486,1.17817,0.416
1400000,5,30.8566,43.0146,3.22774,0.417633
1410000,2,13.3567,36.492,1.19567,0.421947
1420000,1,12.5033,27.5461,0.547342,0.412333
1430000,1,8.69753,34.8977,0.621092,0.427025
1440000,1,9.02619,44.5224,2.17842,0.4187
1450000,1,8.95196,20.7777,0.442271,0.4084
1460000,3,22.698,28.6106,1.52962,0.43404
1470000,0,6.02886,26.7986,0.236388,0.418
1480000,1,9.55306,34.2615,2.35935,0.419833
1490000,0,5.62177,42.8349,1.1134,0.42596
1500000,1,10.0077,35.4216,1.40308,0.410933
1510000,2,13.0728,39.8745,3.45809,0.40056
1520000,0,6.64837,37.3675,0.127868,0.41345
1530000,1,11.9073,23.976,0.34527,0.40565
1540000,3,19.6291,29.428,1.91482,0.4299
1550000,0,5.29754,34.4107,0.208057,0.4567
1560000,0,6.46474,18.6317,0.101801,0.42065
1570000,0,6.28598,23.8953,0.308417,0.42626
1580000,1,12.7645,31.7816,0.502114,0.4194
1590000,1,12.5316,31.9301,0.914003,0.4397
1600000,0,6.18878,30.6054,0.498005,0.412567
1610000,1,11.4025,32.5479,1.66336,0.4424
1620000,0,5.20077,35.2448,0.111398,0.428544
1630000,1,12.7126,34.2628,0.307708,0.4169
1640000,1,9.70345,34.3139,1.25884,0.426311
1650000,0,5.95991,30.6209,0.520138,0.41468
1660000,0,5.52643,35.2721,1.00465,0.4326
1670000,0,6.22245,35.5883,0.360125,0.43025
1680000,2,16.5096,44.4592,2.88262,0.4294
1690000,1,12.2288,31.8386,0.609156,0.414833
1700000,3,15.6309,33.8654,4.97682,0.41955
1710000,1,11.6597,34.6216,1.28259,0.430775
1720000,2,16.8076,35.9801,1.35271,0.4445
1730000,1,9.92353,28.6803,2.24688,0.427367
1740000,0,6.56597,31.5309,0.0222887,0.4248
1750000,0,6.48472,34.3722,0.0796358,0.434
1760000,1,11.7787,36.7306,0.823367,0.438614
1770000,0,5.56768,35.1031,0.318322,0.4109
1780000,1,9.09698,38.962,0.705719,0.408033
1790000,0,6.11458,27.3738,0.416815,0.410629
1800000,0,6.41678,39.3469,0.0720666,0.42685
1810000,0,5.0753,32.6162,0.104758,0.3939
1820000,0,6.72203,39.9874,0.0348397,0.412867
1830000,0,6.13319,34.9101,0.226593,0.423967
1840000,0,6.18266,28.828,0.135837,0.41925
1850000,0,5.75422,36.2468,0.529889,0.3985
1860000,0,6.68636,38.5965,0.0666507,0.4186
1870000,0,5.2995,34.4727,1.2763,0.407
1880000,0,6.62464,26.6294,0.0274011,0.418067
1890000,3,19.5908,14.474,4.41394,0.4231
1900000,1,10.8614,30.512,1.83454,0.4389
1910000,1,12.0349,38.3452,0.751699,0.4253
1920000,1,12.2827,37.2011,0.644868,0.42435
1930000,1,8.09627,31.3794,1.88687,0.4199
1940000,0,6.13111,28.2081,0.133991,0.420136
1950000,0,5.38998,32.1083,1.23665,0.424314
1960000,0,5.92715,25.0998,0.388432,0.4408
1970000,0,5.93244,29.8071,0.538251,0.424567
1980000,1,11.4178,26.2854,0.469131,0.41642
1990000,0,6.51671,40.6569,0.26841,0.43235
2000000,0,4.87892,32.3832,1.13254,0.41685
2010000,0,6.57232,42.6397,0.228232,0.416622
2020000,0,6.24791,36.4871,0.145613,0.40895
2030000,1,9.69273,37.5674,1.36061,0.3934
2040000,2,14.3854,20.9081,1.89915,0.41292
2050000,1,11.8893,31.7255,0.367094,0.4051
2060000,2,13.2645,38.8799,2.44677,0.412925
2070000,3,22.2166,36.32,1.68967,0.41835
2080000,0,5.89381,33.5884,0.7771,0.422557
2090000,1,13.0262,38.102,0.351884,0.4327
2100000,2,17.735,33.4361,1.34754,0.41405
2110000,0,5.07914,39.5639,1.70272,0.422067
2120000,0,6.51146,37.0556,0.247962,0.42845
2130000,0,5.95716,37.6518,0.707533,0.4079
2140000,0,6.6475,35.992,0.0570338,0.4129
2150000,3,21.017,39.2986,2.86577,0.40835
2160000,0,6.29429,32.7076,0.0489939,0.4021
2170000,3,18.3804,33.4937,1.81107,0.4141
2180000,6,37.2162,38.541,3.12509,0.4102
2190000,5,28.9967,35.7423,3.7034,0.416625
2200000,0,6.32101,38.6113,0.0384494,0.4221
2210000,1,10.1139,32.9125,0.481412,0.425621
2220000,1,10.7541,30.9831,0.339021,0.428175
2230000,0,6.30434,31.9113,0.309907,0.43675
2240000,0,5.9229,35.6083,0.642918,0.43045
2250000,1,12.7327,39.4465,0.424254,0.4096
2260000,3,19.0345,30.0536,2.52549,0.3977
2270000,0,5.99031,33.9897,0.701415,0.41538
2280000,3,20.1857,27.5168,3.33986,0.43165
2290000,2,10.4434,34.2993,1.46359,0.4317
2300000,3,20.1614,34.8916,2.2483,0.4093
2310000,0,5.28132,38.4453,1.44584,0.435
2320000,1,11.0569,27.0545,1.87071,0.4447
2330000,0,5.88857,31.0754,0.818091,0.428317
2340000,0,6.48674,40.4384,0.294199,0.4238
2350000,0,5.2973,41.1413,0.147952,0.4125
2360000,0,4.45711,31.1658,2.31656,0.417168
2370000,0,6.48801,39.979,0.251053,0.4049
2380000,2,17.1763,33.2247,1.67856,0.43976
2390000,0,6.3951,35.6684,0.15504,0.42775
2400000,0,5.49764,38.3021,0.162003,0.43085
2410000,1,11.7912,31.0542,0.447027,0.4151
2420000,1,11.7554,28.6664,1.07984,0.418129
2430000,0,4.083,35.6008,0.686182,0.41835
2440000,8,49.5575,27.8564,3.3947,0.42872
2450000,2,15.3123,43.4682,3.34589,0.4174
2460000,0,5.10475,40.2734,1.06895,0.4192
2470000,0,5.62699,30.8241,0.516134,0.3967
2480000,0,5.29344,31.8984,0.351493,0.4327
2490000,2,16.7339,37.5392,1.81924,0.42075
2500000,1,9.89059,29.4006,0.958111,0.430667
2510000,0,6.7043,26.2419,0.00757791,0.4091
2520000,0,6.26626,34.5294,0.115319,0.4292
2530000,0,6.01591,33.2119,0.672151,0.418
2540000,2,18.6258,35.2637,1.04608,0.4214
2550000,4,27.2311,31.3012,2.80435,0.4154
2560000,0,5.5945,36.8897,0.188489,0.407264
2570000,1,11.9943,47.1719,0.124977,0.4028
2580000,2,16.3446,25.6798,0.525432,0.41721
2590000,4,26.4821,34.4404,4.28599,0.415767
2600000,2,15.1201,37.9272,2.45174,0.4518
2610000,0,4.9963,40.5282,1.27624,0.415583
2620000,5,33.899,25.1349,2.87318,0.407325
2630000,1,12.074,34.6104,0.858766,0.4139
2640000,1,11.9411,43.8414,0.471563,0.423586
2650000,0,6.45891,17.811,0.122278,0.44775
2660000,0,5.99338,38.7903,0.0163781,0.42115
2670000,0,5.63631,26.2997,0.117317,0.443067
2680000,0,5.41523,31.1343,1.00659,0.428729
2690000,1,11.9298,39.7204,0.872217,0.441575
2700000,0,4.8945,19.9765,1.0347,0.432967
2710000,0,6.62112,29.3152,0.128322,0.41864
2720000,2,15.8539,35.8748,3.16527,0.434233
2730000,0,5.73298,28.6844,0.134152,0.42534
2740000,1,12.6374,33.8287,0.534017,0.4351
2750000,0,4.7439,32.2149,1.73512,0.4155
2760000,0,6.29657,43.558,0.405166,0.423833
2770000,0,5.18606,24.4242,0.0195084,0.447057
2780000,4,26.8703,32.6793,2.50239,0.412825
2790000,0,6.42671,35.46,0.253357,0.4026
2800000,1,10.9408,29.1148,0.206713,0.425567
2810000,0,6.64915,38.2825,0.0947936,0.40405
2820000,0,6.41517,33.4697,0.328136,0.417571
2830000,1,10.3954,34.9454,1.4072,0.4248
2840000,0,6.48284,36.346,0.147747,0.417488
2850000,1,11.1322,36.5688,0.941827,0.42894
2860000,4,26.5249,29.1149,4.28338,0.4095
2870000,2,15.108,25.5378,2.54734,0.3992
2880000,0,6.01051,19.9046,0.513121,0.4186
2890000,3,22.8966,39.7416,1.98076,0.415413
2900000,0,6.28455,30.2311,0.180119,0.427933
2910000,0,4.90053,36.5689,1.68259,0.4246
