generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1270000,1,12.5221,62.8651,0.22053,0.42815
1280000,0,6.83334,57.7142,0.0293525,0.439543
1290000,3,18.5608,52.9537,4.72431,0.4501
1300000,0,6.21898,55.1674,0.325394,0.45895
1310000,0,6.21644,54.7692,0.672975,0.45055
1320000,0,6.0356,54.8881,0.416991,0.46095
1330000,4,27.1998,60.9177,2.50984,0.45805
1340000,6,40.5214,68.0214,4.72399,0.4638
1350000,1,12.4598,49.4546,0.684225,0.4518
1360000,0,3.57162,54.4022,3.06283,0.4593
1370000,1,11.4146,62.3636,0.757354,0.4381
1380000,0,6.75849,59.2826,0.0854597,0.44762
1390000,1,11.889,61.5284,0.783332,0.4696
1400000,1,11.4851,67.5639,0.926684,0.442337
1410000,0,6.91727,74.5561,0.0346118,0.44185
1420000,1,7.88646,66.7452,0.116988,0.46546
1430000,1,12.717,59.4159,0.367715,0.44481
1440000,5,33.8018,70.4365,2.36102,0.431733
1450000,1,12.835,64.7954,0.334789,0.44275
1460000,3,22.059,65.173,4.01019,0.447517
1470000,2,18.2011,66.7324,1.18553,0.417
1480000,8,55.4036,85.365,2.6805,0.43175
1490000,7,43.144,84.7873,3.23691,0.40595
1500000,0,6.83941,57.9132,0.0274379,0.42625
1510000,1,13.0005,70.9027,0.840496,0.4418
1520000,0,5.39192,66.6202,1.53731,0.4422
1530000,2,18.3276,77.8216,0.775711,0.42765
1540000,0,5.89263,63.3388,0.872309,0.4429
1550000,0,4.0445,63.9685,0.491371,0.43135
1560000,1,12.3783,70.4197,1.05563,0.438025
1570000,3,21.7603,78.7122,1.05565,0.4255
1580000,2,12.2191,71.7606,2.59904,0.4183
1590000,1,12.0345,51.3368,0.986977,0.457567
1600000,3,25.3434,65.7146,1.64781,0.450717
1610000,0,5.98184,47.2346,0.72293,0.4374
1620000,2,14.0358,70.9958,1.59381,0.441908
1630000,0,6.82097,60.8666,0.0346111,0.4372
1640000,0,6.55428,62.6458,0.291285,0.44305
1650000,6,38.4723,86.1955,3.08585,0.4328
1660000,2,16.2491,67.8464,1.81595,0.4347
1670000,5,30.289,63.719,5.79478,0.45445
1680000,0,6.48464,67.0802,0.239141,0.445675
1690000,3,23.7341,56.1985,0.954069,0.4405
1700000,0,6.4871,61.8433,0.40618,0.4539
1710000,4,29.4154,63.2169,1.16019,0.4563
1720000,0,6.72116,53.9132,0.136759,0.46536
1730000,0,6.91148,63.6271,0.0102607,0.4389
1740000,4,25.002,90.7844,3.40896,0.4347
1750000,7,47.7296,78.1644,1.96679,0.442143
1760000,2,17.071,71.8211,1.52526,0.43055
1770000,9,52.106,70.5967,5.32909,0.4443
1780000,2,14.7869,73.2171,1.03648,0.43345
1790000,3,20.2584,75.4817,2.6225,0.4254
1800000,0,6.427,62.7096,0.204293,0.441
1810000,0,6.25073,58.6544,0.353942,0.4425
1820000,3,22.5447,72.2904,0.966678,0.4437
1830000,4,27.1701,79.6541,3.23792,0.432489
1840000,0,6.66884,47.2949,0.1459,0.452467
1850000,0,6.72521,60.9969,0.0910404,0.43906
1860000,2,14.9677,58.3526,0.835889,0.428033
1870000,0,5.98766,68.0196,0.90757,0.4361
1880000,1,11.9476,83.516,1.74717,0.4473
1890000,1,11.4096,73.8555,1.02924,0.44125
1900000,2,19.3897,71.3002,0.862126,0.40455
1910000,1,11.0592,71.3876,0.611059,0.4412
1920000,1,12.1525,64.7107,0.587416,0.436733
1930000,1,12.8088,62.3835,0.161532,0.42995
1940000,2,15.9398,74.8652,1.95569,0.4414
1950000,4,25.9065,71.5389,3.82004,0.4381
1960000,2,19.794,63.4195,0.665371,0.4583
1970000,3,23.9846,65.3713,0.777922,0.4597
1980000,4,29.373,73.1201,2.16325,0.4554
1990000,12,65.8513,83.8656,7.38229,0.445833
2000000,2,16.6349,70.219,1.34307,0.4386
2010000,2,16.4576,67.7191,2.79441,0.43225
2020000,1,11.8909,61.6504,1.06614,0.4321
2030000,1,12.8157,66.7571,0.71939,0.452
2040000,3,24.0715,72.5014,1.40274,0.4493
2050000,2,18.0946,52.5383,0.407537,0.445895
2060000,0,6.3698,46.7297,0.500546,0.448163
2070000,2,17.4527,68.3597,1.27841,0.4379
2080000,2,11.8544,67.839,5.18845,0.4356
2090000,0,3.8631,56.9317,2.75472,0.448125
2100000,3,19.5926,63.5177,5.84405,0.4606
2110000,1,12.7616,67.9105,0.798552,0.44435
2120000,2,16.5045,69.5595,0.849024,0.446
2130000,10,61.4231,64.3197,3.31699,0.4466
2140000,5,33.1006,66.2057,2.7662,0.435309
2150000,0,5.41914,67.672,0.257738,0.43774
2160000,3,23.8013,62.5588,1.85333,0.4365
2170000,0,6.44174,68.5555,0.151425,0.445767
2180000,3,19.0842,58.6145,1.37783,0.4484
2190000,1,10.2434,58.1365,1.1352,0.436191
2200000,2,16.9793,68.7535,0.696495,0.468825
2210000,8,43.5324,75.0885,2.61325,0.4529
2220000,2,17.4861,85.5458,1.09974,0.426643
2230000,4,26.8783,74.8925,2.11584,0.406
2240000,2,16.0389,70.7606,1.81903,0.4134
2250000,2,19.256,69.2189,0.331484,0.4275
2260000,0,6.84845,56.9346,0.0763045,0.434814
2270000,0,5.95559,68.7854,0.676008,0.466633
2280000,3,21.259,70.472,2.59929,0.447229
2290000,5,31.851,74.6621,2.74366,0.444825
2300000,1,12.6356,80.1672,0.116347,0.42315
2310000,7,42.6407,80.9288,2.79626,0.4184
2320000,0,5.22479,64.1689,0.271633,0.431867
2330000,6,40.7055,64.6519,1.67163,0.453075
2340000,1,9.08738,63.1713,2.24384,0.43475
2350000,0,4.86619,62.4535,1.37152,0.45385
2360000,2,19.045,76.205,0.608962,0.42158
2370000,5,32.5232,66.5172,1.86557,0.47445
2380000,1,11.8746,67.4109,0.0553248,0.451
2390000,5,33.6158,75.5538,4.64748,0.4519
2400000,3,18.8434,64.6502,3.53118,0.42674
2410000,0,6.54029,69.6524,0.355879,0.434257
2420000,0,5.06735,49.7765,1.70856,0.4322
2430000,2,19.1268,67.5792,0.362493,0.4694
2440000,4,29.369,66.9453,1.64132,0.44476
2450000,0,6.14744,64.5714,0.781873,0.439478
2460000,1,12.5343,68.5914,0.730323,0.442433
2470000,0,5.97668,57.5966,0.404631,0.4675
2480000,6,38.0757,53.3086,2.14901,0.4866
2490000,4,25.5118,86.446,3.83577,0.436633
2500000,3,21.9627,66.5961,1.862,0.44238
2510000,3,22.6575,66.1834,0.529196,0.4405
2520000,5,33.1384,76.6527,3.92697,0.4316
2530000,6,34.8895,82.5811,2.99698,0.403
2540000,1,12.3918,62.7508,1.04802,0.443964
2550000,5,32.4717,67.8676,1.17906,0.453186
2560000,0,4.53417,73.2623,1.03884,0.41515
2570000,3,25.6667,71.3982,1.57516,0.434
2580000,0,6.54183,53.7848,0.35229,0.4339
2590000,0,5.85381,77.3137,0.443673,0.4459
2600000,2,18.9308,68.375,1.06723,0.4336
2610000,0,6.54592,69.1159,0.368564,0.437582
2620000,1,6.60567,63.6849,2.09419,0.44825
2630000,2,16.2161,65.7695,3.18564,0.44828
2640000,2,16.8564,71.938,3.05601,0.4498
2650000,4,22.6904,82.2774,5.31637,0.42575
2660000,3,22.3912,87.3258,2.82357,0.4219
2670000,4,22.1897,55.032,5.12696,0.4163
2680000,1,12.6148,44.3168,0.247685,0.4531
2690000,3,23.6822,50.4394,1.37771,0.44695
