generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
65800000,Rana_weiningensis,Rana_shuchinae,0,0.280708,-0.0394475,0.00126107,0
65800000,Rana_weiningensis,NA,33.5007,0.17846,-0.00140195,0.518379,0
65800000,Rana_chaochiaoensis,NA,44.276,0.0752065,0.021309,0.275233,0
65900000,Rana_weiningensis,Rana_shuchinae,0,0.0915282,-0.0161989,0.000656795,0
66000000,Rana_weiningensis,Rana_shuchinae,0,0.130718,-0.0216456,0.00315634,0
66100000,Rana_weiningensis,Rana_shuchinae,0,0.0946808,0.0103501,0.252121,0
66100000,Rana_weiningensis,NA,39.2725,0.00332372,0.0216189,0.398525,0
66100000,Rana_shuchinae,Rana_sylvatica,3.47173,0.211591,-0.0378973,0.00195969,0
66200000,Rana_weiningensis,Rana_shuchinae,0,0.128085,0.0196872,0.320581,0
66200000,Rana_sylvatica,NA,29.5264,0.308529,0.020251,0.311015,0
66200000,Rana_shuchinae,Rana_sylvatica,2.87141,0.105556,-0.0149108,0.000474413,0
66300000,Rana_weiningensis,Rana_shuchinae,0,0.326798,-0.0520265,0.00655012,0
66300000,Rana_dalmatina,NA,45.601,0.0211004,-0.00343584,0.671527,0
66400000,Rana_weiningensis,Rana_shuchinae,0,0.244531,-0.0403692,0.0166494,0
66500000,Rana_weiningensis,Rana_shuchinae,0,0.234347,-0.03236,0.0028104,0
66500000,Rana_weiningensis,NA,5.13586,0.0372099,-0.0391209,0.00208474,0
66600000,Rana_weiningensis,Rana_shuchinae,0,0.152723,-0.0235464,0.0167183,0
66700000,Rana_weiningensis,Rana_shuchinae,0,0.114993,-0.0150327,0.00498175,0
66800000,Rana_weiningensis,Rana_shuchinae,0,0.224971,-0.0390659,0.019507,0
66800000,Rana_weiningensis,NA,13.8214,0.080838,-0.00247559,0.167342,0
66900000,Rana_weiningensis,Rana_shuchinae,0,0.115743,-0.0145323,0.00894555,0
67000000,Rana_weiningensis,Rana_shuchinae,0,0.229159,-0.038693,0.0035717,0
67000000,Rana_weiningensis,NA,11.8914,0.165945,0.007106,0.0741155,0
67000000,Rana_sierramadrensis,NA,46.246,0.120836,-0.0146036,0.421508,0
67100000,Rana_weiningensis,Rana_shuchinae,0,0.235365,-0.0357686,0.0264528,0
67100000,Rana_septentrionalis,Rana_grylio,13.9897,0.13746,0.0331039,0.187111,0
67200000,Rana_weiningensis,Rana_shuchinae,0,0.0974202,-0.0124094,0.0040491,0
67300000,Rana_weiningensis,Rana_shuchinae,0,0.291146,-0.0422678,0.000930287,0
67300000,Rana_weiningensis,NA,35.9873,0.186135,-0.00993205,0.887972,0
67400000,Rana_weiningensis,Rana_shuchinae,0,0.157027,-0.0214722,0.00165204,0
67500000,Rana_weiningensis,Rana_shuchinae,0,0.205061,-0.0263965,0.0374815,0
67600000,Rana_weiningensis,Rana_shuchinae,0,0.238,-0.0407861,0.0104743,0
67700000,Rana_weiningensis,Rana_shuchinae,0,0.207323,-0.036191,0.0141226,0
67800000,Rana_weiningensis,Rana_shuchinae,0,0.235443,-0.0344886,0.00318611,0
67800000,Rana_weiningensis,NA,4.72859,0.354397,-0.0113632,0.393171,0
67800000,Rana_palustris,NA,43.1018,0.134301,0.036372,0.263906,0
67900000,Rana_weiningensis,Rana_shuchinae,0,0.108351,-0.0145426,0.000197326,0
68000000,Rana_weiningensis,Rana_shuchinae,0,0.0992699,-0.00867672,0.0152224,0
68100000,Rana_weiningensis,Rana_shuchinae,0,0.222728,-0.0398022,0.00280142,0
68200000,Rana_weiningensis,Rana_shuchinae,0,0.11513,-0.0161284,0.0103072,0
68300000,Rana_weiningensis,Rana_shuchinae,0,0.114462,-0.0183748,0.00646996,0
68400000,Rana_weiningensis,Rana_shuchinae,0,0.234927,-0.0361694,0.0281995,0
68500000,Rana_weiningensis,Rana_shuchinae,0,0.328452,-0.0302208,0.0692998,0
68600000,Rana_weiningensis,Rana_shuchinae,0,0.140286,-0.0244249,0.00365962,0
68600000,Rana_asiatica,NA,43.499,0.182163,0.0343585,0.265322,0
68700000,Rana_weiningensis,Rana_shuchinae,0,0.218952,-0.0302147,0.0176018,0
68800000,Rana_weiningensis,Rana_shuchinae,0,0.126622,-0.0245045,0.00142597,0
68900000,Rana_weiningensis,Rana_shuchinae,0,0.206207,-0.0244909,0.029729,0
69000000,Rana_weiningensis,Rana_shuchinae,0,0.218852,-0.0327187,0.00310125,0
69100000,Rana_weiningensis,Rana_shuchinae,0,0.258684,-0.0363786,0.0201968,0
69200000,Rana_weiningensis,Rana_shuchinae,0,0.186954,-0.0331963,0.0107354,0
69300000,Rana_weiningensis,Rana_shuchinae,0,0.22035,-0.0262125,0.0307042,0
69300000,Rana_weiningensis,NA,31.3632,0.528854,-0.0351141,0.623203,0
69400000,Rana_weiningensis,Rana_shuchinae,0,0.125536,-0.0151068,0.00543862,0
69500000,Rana_weiningensis,Rana_shuchinae,0,0.410844,-0.0531962,0.0205809,0
69500000,Rana_weiningensis,NA,27.8097,0.368918,-0.0159076,0.737861,0
69600000,Rana_weiningensis,Rana_shuchinae,0,0.228133,-0.0383196,0.0159514,0
69600000,Rana_weiningensis,NA,32.061,0.225531,0.00927314,0.602377,0
69700000,Rana_weiningensis,Rana_shuchinae,0,0.227232,-0.03684,0.0097924,0
69800000,Rana_weiningensis,Rana_shuchinae,0,0.20581,-0.0348323,0.00595644,0
69900000,Rana_weiningensis,Rana_shuchinae,0,0.171632,-0.0219842,0.0295247,0
69900000,Rana_weiningensis,NA,10.4495,0.0407509,-0.0371033,0.186617,0
70000000,Rana_weiningensis,Rana_shuchinae,0,0.187578,-0.0300429,0.00137186,0
70100000,Rana_weiningensis,Rana_shuchinae,0,0.259592,-0.0391493,0.00601571,0
70200000,Rana_weiningensis,Rana_shuchinae,0,0.316261,-0.0459345,0.00167352,0
70200000,Rana_weiningensis,NA,20.4177,0.115416,0.0346444,0.343445,0
70300000,Rana_weiningensis,Rana_shuchinae,0,0.290558,-0.0387708,0.0134748,0
70300000,Rana_weiningensis,NA,4.69283,0.0304933,0.0302901,0.154321,0
70400000,Rana_weiningensis,Rana_shuchinae,0,0.242341,-0.0323495,0.0269179,0
70500000,Rana_weiningensis,Rana_shuchinae,0,0.17513,-0.0318232,0.00793518,0
70600000,Rana_weiningensis,Rana_shuchinae,0,0.129131,-0.0126762,0.0260225,0
70700000,Rana_weiningensis,Rana_shuchinae,0,0.304222,-0.0429175,0.0229415,0
70700000,Rana_weiningensis,NA,32.4131,0.0107229,-0.0394214,0.598381,0
70800000,Rana_weiningensis,Rana_shuchinae,0,0.11448,-0.0137342,0.00272007,0
70900000,Rana_weiningensis,Rana_shuchinae,0,0.0972972,-0.0082065,0.00347566,0
71000000,Rana_weiningensis,Rana_shuchinae,0,0.256074,-0.0385827,0.0131045,0
71100000,Rana_weiningensis,Rana_shuchinae,0,0.276899,-0.0434476,0.0116264,0
71100000,Rana_weiningensis,NA,37.1066,0.261089,-0.00645147,0.928284,0
71200000,Rana_weiningensis,Rana_shuchinae,0,0.160097,-0.0261466,0.00308063,0
71200000,Rana_weiningensis,NA,27.4747,0.216036,0.0241894,0.55663,0
71300000,Rana_weiningensis,Rana_shuchinae,0,0.27156,-0.0341269,0.0144114,0
71400000,Rana_weiningensis,Rana_shuchinae,0,0.223393,-0.0321871,0.0269316,0
71500000,Rana_weiningensis,Rana_shuchinae,0,0.15227,-0.0215078,0.00700861,0
71500000,Rana_sakuraii,NA,45.3322,0.07913,-0.0190943,0.260397,0
71600000,Rana_weiningensis,Rana_shuchinae,0,0.116102,-0.0226388,0.00457116,0
71700000,Rana_weiningensis,Rana_shuchinae,0,0.321363,-0.0400957,9.49128e-005,0
71700000,Rana_weiningensis,NA,33.0588,0.248888,-0.0307322,0.689506,0
71800000,Rana_weiningensis,Rana_shuchinae,0,0.134252,-0.0234794,0.000129084,0
71900000,Rana_weiningensis,Rana_shuchinae,0,0.0789351,-0.0118334,0.00411087,0
72000000,Rana_weiningensis,Rana_shuchinae,0,0.164476,-0.0200764,0.0132395,0
72100000,Rana_weiningensis,Rana_shuchinae,0,0.214971,-0.0404168,0.0082568,0
72100000,Rana_shuchinae,NA,32.9687,0.0438449,-0.00838105,0.13644,0
72200000,Rana_weiningensis,Rana_shuchinae,0,0.154681,-0.0249144,0.00717089,0
72300000,Rana_weiningensis,Rana_shuchinae,0,0.182471,-0.0308402,0.00239038,0
72400000,Rana_weiningensis,Rana_shuchinae,0,0.128311,-0.0172141,0.0230456,0
72500000,Rana_weiningensis,Rana_shuchinae,0,0.315415,-0.041241,0.0232164,0
72600000,Rana_weiningensis,Rana_shuchinae,0,0.218006,-0.0308573,0.0126024,0
72700000,Rana_weiningensis,Rana_shuchinae,0,0.276265,-0.0472084,0.00263678,0
72700000,Rana_sylvatica,NA,33.3506,0.00465245,0.0477942,0.399625,0
72800000,Rana_weiningensis,Rana_shuchinae,0,0.405575,-0.0456338,0.0291649,0
72900000,Rana_weiningensis,Rana_shuchinae,0,0.27511,-0.0360141,0.042296,0
72900000,Rana_weiningensis,NA,23.7309,0.00124382,-0.0116931,0.219299,0
73000000,Rana_weiningensis,Rana_shuchinae,0,0.415482,-0.0461577,0.0172267,0
73100000,Rana_weiningensis,Rana_shuchinae,0,0.267043,-0.044137,0.00187028,0
73100000,Rana_weiningensis,NA,13.436,0.0863806,-0.00345147,0.32659,0
73200000,Rana_weiningensis,Rana_shuchinae,0,0.261653,-0.0412539,0.00216526,0
73200000,Rana_weiningensis,NA,28.4354,0.223052,-0.0200555,0.454384,0
73200000,Rana_catesbeiana,NA,46.8488,0.187497,0.0217559,0.594111,0
73300000,Rana_weiningensis,Rana_shuchinae,0,0.416721,-0.0454042,0.0449357,0
73300000,Rana_weiningensis,NA,14.3255,0.13709,0.00776015,0.419048,0
73400000,Rana_weiningensis,Rana_shuchinae,0,0.111618,-0.0183155,0.0053105,0
73500000,Rana_weiningensis,Rana_shuchinae,0,0.235677,-0.0308294,0.0121571,0
73500000,Rana_weiningensis,NA,3.04047,0.316384,-0.0436876,0.186856,0
73600000,Rana_weiningensis,Rana_shuchinae,0,0.196023,-0.0354283,0.00736324,0
73700000,Rana_weiningensis,Rana_shuchinae,0,0.238339,-0.0368527,0.0132681,0
73800000,Rana_weiningensis,Rana_shuchinae,0,0.559138,-0.0516794,0.0583609,0
73800000,Rana_weiningensis,NA,21.3378,0.0183666,-0.0140006,0.348369,0
73900000,Rana_weiningensis,Rana_shuchinae,0,0.251091,-0.0318971,0.00872324,0
74000000,Rana_weiningensis,Rana_shuchinae,0,0.240652,-0.035311,0.0154367,0
74000000,Rana_weiningensis,NA,40.1159,0.0143318,0.0248771,0.96658,0
74000000,Rana_sauteri,NA,46.6984,0.617016,0.0294774,0.0536406,0
74100000,Rana_weiningensis,Rana_shuchinae,0,0.242883,-0.0357135,0.0158852,0
74200000,Rana_weiningensis,Rana_shuchinae,0,0.18752,-0.0273453,0.00670674,0
74300000,Rana_weiningensis,Rana_shuchinae,0,0.209196,-0.0319029,0.00710734,0
74300000,Rana_sylvatica,NA,42.3198,0.657327,0.0124039,0.945759,0
74400000,Rana_weiningensis,Rana_shuchinae,0,0.167806,-0.0295843,0.00597097,0
74400000,Rana_longicrus,NA,44.1749,0.0435603,-0.00724219,0.320697,0
74500000,Rana_weiningensis,Rana_shuchinae,0,0.369024,-0.0435972,0.0433778,0
74600000,Rana_weiningensis,Rana_shuchinae,0,0.114103,-0.0195124,0.00368896,0
74700000,Rana_weiningensis,Rana_shuchinae,0,0.143128,-0.028521,0.000682349,0
74800000,Rana_weiningensis,Rana_shuchinae,0,0.190882,-0.0270001,0.00864294,0
74900000,Rana_weiningensis,Rana_shuchinae,0,0.1357,-0.0257467,0.00227616,0
75000000,Rana_weiningensis,Rana_shuchinae,0,0.162614,-0.0267794,0.0109248,0
75100000,Rana_weiningensis,Rana_shuchinae,0,0.248055,-0.0378866,0.0158361,0
75200000,Rana_weiningensis,Rana_shuchinae,0,0.19045,-0.0306663,0.00589444,0
75300000,Rana_weiningensis,Rana_shuchinae,0,0.120374,-0.011361,0.004124,0
75400000,Rana_weiningensis,Rana_shuchinae,0,0.305291,-0.038159,0.0275607,0
75500000,Rana_weiningensis,Rana_shuchinae,0,0.181995,-0.0290422,0.0022522,0
75500000,Rana_weiningensis,NA,17.2251,0.0911285,-0.010106,0.191099,0
75500000,Rana_tsushimensis,NA,39.1365,0.218315,0.00877643,0.10937,0
75600000,Rana_weiningensis,Rana_shuchinae,0,0.117677,-0.015488,0.00810092,0
75600000,Rana_weiningensis,NA,24.0354,0.147125,0.023648,0.500785,0
75700000,Rana_weiningensis,Rana_shuchinae,0,0.106341,-0.0193652,0.0217697,0
75800000,Rana_weiningensis,Rana_shuchinae,0,0.188975,-0.0297547,0.0118797,0
75900000,Rana_weiningensis,Rana_shuchinae,0,0.13684,-0.0190829,0.00119827,0
75900000,Rana_weiningensis,NA,39.4627,0.0191409,-0.00294395,0.311312,0
76000000,Rana_weiningensis,Rana_shuchinae,0,0.158068,-0.023263,0.00761788,0
76100000,Rana_weiningensis,Rana_shuchinae,0,0.218063,-0.0267934,0.0294927,0
76200000,Rana_weiningensis,Rana_shuchinae,0,0.178133,-0.0265317,0.00247193,0
76200000,Rana_zhengi,NA,43.3376,0.0871526,0.00796564,0.146038,0
76300000,Rana_weiningensis,Rana_shuchinae,0,0.142442,-0.0192876,0.019964,0
76400000,Rana_weiningensis,Rana_shuchinae,0,0.179128,-0.0321355,0.000356233,0
76400000,Rana_weiningensis,NA,2.09233,0.0251557,-0.00946144,0.0183809,0
76400000,Rana_areolata,NA,46.6085,0.0806892,0.00534526,0.296847,0
76500000,Rana_weiningensis,Rana_shuchinae,0,0.128423,-0.0130686,0.0298172,0
76600000,Rana_weiningensis,Rana_shuchinae,0,0.122955,-0.0187476,0.0104983,0
76700000,Rana_weiningensis,Rana_shuchinae,0,0.143814,-0.0228186,0.00392975,0
76700000,Rana_japonica,NA,36.9791,0.00133229,-0.0277396,0.11458,0
76800000,Rana_weiningensis,Rana_shuchinae,0,0.294271,-0.043398,0.00748371,0
76800000,Rana_sierramadrensis,Rana_pustulosa,22.1485,0.0957775,-0.00849845,0.0163581,0
76900000,Rana_weiningensis,Rana_shuchinae,0,0.206485,-0.0340063,0.0136778,0
76900000,Rana_weiningensis,NA,21.864,0.0627568,-0.0312587,0.112941,0
77000000,Rana_weiningensis,Rana_shuchinae,0,0.213095,-0.0307573,0.0190756,0
77100000,Rana_weiningensis,Rana_shuchinae,0,0.205194,-0.0348018,0.00658199,0
77100000,Rana_sylvatica,NA,34.1027,0.0515576,0.0187423,0.53403,0
77100000,Rana_sylvatica,NA,35.4691,0.0481763,0.0115713,0.0741347,0
77200000,Rana_weiningensis,Rana_shuchinae,0,0.290519,-0.0393029,0.0139989,0
77300000,Rana_weiningensis,Rana_shuchinae,0,0.165508,-0.0287222,0.00338059,0
77400000,Rana_weiningensis,Rana_shuchinae,0,0.124729,-0.0192021,0.000527547,0
77400000,Rana_weiningensis,NA,27.9746,0.227701,-0.00365218,0.322412,0
77400000,Rana_sylvatica,NA,18.8024,0.0784466,0.0368749,0.0729537,0
77400000,Rana_bwana,NA,46.9071,0.52567,0.00385261,0.100768,0
77500000,Rana_weiningensis,Rana_shuchinae,0,0.164584,-0.0268743,0.000565599,0
77500000,Rana_weiningensis,NA,30.4285,0.760535,0.016775,1.17763,0
77600000,Rana_weiningensis,Rana_shuchinae,0,0.180632,-0.0294146,0.022464,0
77700000,Rana_weiningensis,Rana_shuchinae,0,0.236905,-0.0329078,0.00910702,0
77800000,Rana_weiningensis,Rana_shuchinae,0,0.0766934,-0.00651141,0.00101075,0
77900000,Rana_weiningensis,Rana_shuchinae,0,0.08292,-0.00990794,0.0027072,0
77900000,Rana_sylvatica,NA,16.6394,0.0467756,0.0142594,0.0499187,0
78000000,Rana_weiningensis,Rana_shuchinae,0,0.152437,-0.0293628,0.00989499,0
78000000,Rana_weiningensis,NA,10.037,0.0220958,0.00158692,0.263299,0
78000000,Rana_catesbeiana,NA,46.4168,0.0303513,0.00358172,0.645999,0
78100000,Rana_weiningensis,Rana_shuchinae,0,0.235741,-0.0397277,0.0165747,0
