generation,leftchild,rightchild,abstime,betainit,betashift
470000,Rana_sevosa,NA,35.7787,0.0218384,0.026581
480000,Rana_shuchinae,Rana_okaloosae,0,0.00126504,0.00500572
480000,Rana_dybowskii,NA,37.0637,0.00591546,-0.0491397
490000,Rana_shuchinae,Rana_okaloosae,0,0.00100445,0.0211955
500000,Rana_shuchinae,Rana_okaloosae,0,0.00129217,0.00676063
500000,Rana_okaloosae,NA,35.7623,0.00880446,0.0111691
500000,Rana_tarahumarae,NA,29.8379,0.00619252,-0.0264618
510000,Rana_shuchinae,Rana_okaloosae,0,0.0019124,-0.00366333
520000,Rana_shuchinae,Rana_okaloosae,0,0.00130009,0.019058
530000,Rana_shuchinae,Rana_okaloosae,0,0.000264286,-0.00649141
530000,Rana_shuchinae,NA,34.3817,0.00625889,0.00173584
530000,Rana_huanrensis,NA,41.6204,0.0133478,-0.00441742
530000,Rana_omeimontis,Rana_longicrus,29.2285,0.00380385,0.0130764
530000,Rana_okaloosae,NA,8.2869,0.000521312,0.00339976
530000,Rana_bwana,Rana_palmipes,32.519,0.000422938,-0.0115186
530000,Rana_palustris,Rana_sevosa,27.4307,0.00795304,-0.0364383
530000,Rana_warszewitschii,Rana_sierramadrensis,8.88542,0.00236584,0.0135493
540000,Rana_shuchinae,Rana_okaloosae,0,0.00129827,0.0183063
540000,Rana_okaloosae,NA,33.5946,0.00138216,-0.0146672
540000,Rana_palmipes,NA,35.642,0.00791614,0.00475697
540000,Rana_chiricahuensis,Rana_dunni,32.9286,0.00392186,-0.0330562
540000,Rana_pipiens,Rana_chiricahuensis,30.078,0.0056914,-0.0206114
540000,Rana_magnaocularis,NA,36.2246,0.00289726,-0.00874566
550000,Rana_shuchinae,Rana_okaloosae,0,0.00165504,-0.000151308
560000,Rana_shuchinae,Rana_okaloosae,0,0.0021156,-0.00247926
570000,Rana_shuchinae,Rana_okaloosae,0,0.00138028,0.0169063
580000,Rana_shuchinae,Rana_okaloosae,0,0.00335808,-0.00283136
580000,Rana_shuchinae,NA,35.1814,0.00493017,-0.0286625
580000,Rana_temporaria,NA,42.4162,0.00366351,-0.00546894
580000,Rana_macrocnemis,Rana_sauteri,16.8753,0.000934964,-0.00416931
590000,Rana_shuchinae,Rana_okaloosae,0,0.00181905,-0.00385022
600000,Rana_shuchinae,Rana_okaloosae,0,0.00109731,-0.0241685
600000,Rana_okaloosae,Rana_warszewitschii,2.08487,0.00374081,-0.0149778
610000,Rana_shuchinae,Rana_okaloosae,0,0.00285342,-0.0134722
620000,Rana_shuchinae,Rana_okaloosae,0,0.00369561,-0.019032
620000,Rana_vaillanti,Rana_bwana,19.628,0.000146578,-0.000117728
630000,Rana_shuchinae,Rana_okaloosae,0,0.00249634,-0.00962296
640000,Rana_shuchinae,Rana_okaloosae,0,0.00315588,-0.00326233
650000,Rana_shuchinae,Rana_okaloosae,0,0.00109977,0.02909
660000,Rana_shuchinae,Rana_okaloosae,0,0.00178558,0.000933765
670000,Rana_shuchinae,Rana_okaloosae,0,0.00109255,0.0371683
670000,Rana_omeimontis,NA,40.1228,0.00208818,0.034136
680000,Rana_shuchinae,Rana_okaloosae,0,0.000768288,0.0265428
690000,Rana_shuchinae,Rana_okaloosae,0,0.00175495,-0.000935432
700000,Rana_shuchinae,Rana_okaloosae,0,0.00121566,0.0343021
700000,Rana_tarahumarae,NA,24.999,0.00268682,-0.02761
710000,Rana_shuchinae,Rana_okaloosae,0,0.00091924,0.0133571
720000,Rana_shuchinae,Rana_okaloosae,0,0.00262936,-0.00912627
730000,Rana_shuchinae,Rana_okaloosae,0,0.00263302,-0.00912627
740000,Rana_shuchinae,Rana_okaloosae,0,0.00103936,0.065774
750000,Rana_shuchinae,Rana_okaloosae,0,0.000664399,0.0486755
750000,Rana_pipiens,Rana_chiricahuensis,28.7736,0.00984379,-0.0335145
760000,Rana_shuchinae,Rana_okaloosae,0,0.00119583,0.0241947
770000,Rana_shuchinae,Rana_okaloosae,0,0.00181008,0.00152518
780000,Rana_shuchinae,Rana_okaloosae,0,0.000940954,0.016757
790000,Rana_shuchinae,Rana_okaloosae,0,0.000716425,0.00967108
790000,Rana_amurensis,Rana_coreana,30.0848,0.00252013,-0.0337328
790000,Rana_chiricahuensis,Rana_dunni,34.0564,0.0182934,-0.0225433
790000,Rana_sevosa,NA,33.9918,0.00608949,0.00783961
800000,Rana_shuchinae,Rana_okaloosae,0,0.00122507,0.0136168
810000,Rana_shuchinae,Rana_okaloosae,0,0.000979454,0.00919254
810000,Rana_temporaria,NA,32.101,0.00302931,0.0472029
820000,Rana_shuchinae,Rana_okaloosae,0,0.00387019,-0.00782939
820000,Rana_shuchinae,NA,11.2062,0.0333487,-0.0174876
820000,Rana_johnsi,Rana_macrocnemis,11.2152,0.00294162,-0.0343816
820000,Rana_okaloosae,NA,8.15375,0.00017493,0.0062475
820000,Rana_palustris,Rana_sevosa,28.2943,0.0130152,0.0244818
830000,Rana_shuchinae,Rana_okaloosae,0,0.00101172,0.027895
830000,Rana_temporaria,NA,41.5715,0.0096292,-0.0311783
830000,Rana_macrocnemis,Rana_arvalis,20.5306,0.000469967,-0.0123276
830000,Rana_sauteri,NA,39.579,0.0037221,0.0357919
830000,Rana_ornativentris,NA,31.2975,0.00249659,-0.00405205
830000,Rana_okaloosae,NA,33.0655,0.00685097,-0.0442436
840000,Rana_shuchinae,Rana_okaloosae,0,0.000605601,0.0518741
850000,Rana_shuchinae,Rana_okaloosae,0,0.000757194,0.00543427
850000,Rana_sierramadrensis,Rana_pipiens,11.5642,0.00241839,0.0261379
860000,Rana_shuchinae,Rana_okaloosae,0,0.000711521,0.00199666
860000,Rana_pipiens,Rana_palustris,13.9042,0.0047219,0.0323952
870000,Rana_shuchinae,Rana_okaloosae,0,0.00138159,0.00876516
880000,Rana_shuchinae,Rana_okaloosae,0,0.00261109,-0.0205367
880000,Rana_tagoi,NA,40.2815,0.00337908,-0.0200373
880000,Rana_chiricahuensis,NA,38.4636,0.0173318,0.0159178
890000,Rana_shuchinae,Rana_okaloosae,0,0.000756633,0.0204066
890000,Rana_tagoi,Rana_sakuraii,30.4703,0.00115383,0.0318603
890000,Rana_tarahumarae,NA,23.2227,0.0101931,-0.0391248
890000,Rana_pipiens,Rana_chiricahuensis,24.396,0.00225591,0.0472124
890000,Rana_sierramadrensis,Rana_pipiens,11.3447,0.0156735,-0.0285652
900000,Rana_shuchinae,Rana_okaloosae,0,0.00110805,0.0232165
910000,Rana_shuchinae,Rana_okaloosae,0,0.00241873,-0.0122312
920000,Rana_shuchinae,Rana_okaloosae,0,0.00295833,-0.013898
930000,Rana_shuchinae,Rana_okaloosae,0,0.0044641,-0.0254332
940000,Rana_shuchinae,Rana_okaloosae,0,0.00622963,-0.0258604
940000,Rana_arvalis,Rana_temporaria,24.7458,0.00255413,-0.0375386
950000,Rana_shuchinae,Rana_okaloosae,0,0.00519578,-0.0299177
960000,Rana_shuchinae,Rana_okaloosae,0,0.00150855,-0.0118805
960000,Rana_johnsi,NA,42.1093,0.000594673,0.00502669
960000,Rana_pipiens,Rana_palustris,16.4631,0.00342755,0.00444132
970000,Rana_shuchinae,Rana_okaloosae,0,0.000811409,0.0520195
980000,Rana_shuchinae,Rana_okaloosae,0,0.00313536,-0.0175229
990000,Rana_shuchinae,Rana_okaloosae,0,0.00339504,-0.0134462
1000000,Rana_shuchinae,Rana_okaloosae,0,0.00308871,-0.0172104
1010000,Rana_shuchinae,Rana_okaloosae,0,0.00295278,-0.0142599
1010000,Rana_bwana,Rana_palmipes,29.8282,0.00170913,0.0031027
1020000,Rana_shuchinae,Rana_okaloosae,0,0.00163279,0.00128703
1030000,Rana_shuchinae,Rana_okaloosae,0,0.00561457,-0.0162625
1030000,Rana_shuchinae,NA,21.8981,0.0139431,-0.00674137
1030000,Rana_shuchinae,NA,35.7065,1.69456e-005,0.00770262
1030000,Rana_johnsi,Rana_macrocnemis,12.4147,0.0005106,-0.00203977
1030000,Rana_okaloosae,NA,17.2918,0.000189032,-0.0115507
1030000,Rana_warszewitschii,NA,34.9694,0.00397581,0.00671536
1030000,Rana_vibicaria,NA,35.8822,0.00434818,-0.025295
1030000,Rana_shuchinae,NA,32.5932,0.0159804,0.000112593
1040000,Rana_shuchinae,Rana_okaloosae,0,0.00196469,-0.0079591
1050000,Rana_shuchinae,Rana_okaloosae,0,0.0012044,0.0103526
1060000,Rana_shuchinae,Rana_okaloosae,0,0.00199705,-0.0148283
1060000,Rana_shuchinae,NA,23.4291,0.00771613,0.00740887
1060000,Rana_tarahumarae,NA,37.642,0.00135757,-0.0193042
1060000,Rana_chiricahuensis,Rana_dunni,32.4988,0.00279975,0.0073087
1070000,Rana_shuchinae,Rana_okaloosae,0,0.00220919,-0.011625
1080000,Rana_shuchinae,Rana_okaloosae,0,0.00221232,-0.00917024
1090000,Rana_shuchinae,Rana_okaloosae,0,0.00143406,0.00664079
1090000,Rana_magnaocularis,NA,41.3321,0.00491365,0.0564215
1100000,Rana_shuchinae,Rana_okaloosae,0,0.0031671,-0.00362846
