generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1250000,0,2.61759,-112.065,0.980273,0.3969
1260000,1,5.59286,-111.483,1.863,0.435375
1270000,2,4.68127,-107.025,0.85781,0.448462
1280000,1,5.04446,-112.279,0.584325,0.441975
1290000,1,5.25506,-108.04,0.799544,0.483625
1300000,1,4.10195,-116.698,0.587348,0.4264
1310000,1,3.5239,-108.013,1.25946,0.4295
1320000,0,2.95443,-112.585,0.325818,0.41915
1330000,0,2.33737,-112.537,1.47272,0.388767
1340000,1,3.15307,-108.517,0.445923,0.3919
1350000,0,3.86934,-113.412,0.0381364,0.397025
1360000,1,3.51749,-114.901,0.0437074,0.4257
1370000,3,9.25907,-110.898,2.8865,0.43219
1380000,0,3.77543,-112.284,0.114815,0.41825
1390000,1,4.22889,-109.073,0.709802,0.4299
1400000,1,-0.203449,-108.317,1.8742,0.4776
1410000,0,3.20873,-112.435,0.15751,0.497025
1420000,0,3.40993,-111.769,0.142046,0.409
1430000,2,6.06621,-108.231,2.73338,0.427136
1440000,1,6.46408,-111.768,0.345133,0.406
1450000,2,6.93711,-106.934,0.883671,0.5181
1460000,1,1.81435,-108.864,1.66961,0.5225
1470000,2,8.12731,-107.249,1.06919,0.5319
1480000,1,4.32134,-110.283,0.730478,0.465867
1490000,0,2.95909,-111.765,0.674834,0.42885
1500000,1,5.28843,-114.571,2.00765,0.4247
1510000,1,5.05134,-117.103,1.19249,0.437325
1520000,1,1.5572,-109.028,0.683008,0.464
1530000,0,2.77964,-111.883,0.270397,0.471892
1540000,0,0.157539,-113.314,1.22799,0.4357
1550000,1,6.28714,-106.006,0.0674811,0.5168
1560000,2,6.47432,-106.741,1.84098,0.479925
1570000,1,3.94839,-107.85,2.19583,0.5332
1580000,1,2.3186,-111.393,1.98629,0.51635
1590000,2,4.19231,-106.16,2.40229,0.5059
1600000,1,6.79801,-107.34,0.653576,0.525933
1610000,4,9.76207,-112.728,1.86979,0.497433
1620000,1,4.91897,-110.325,1.67319,0.502333
1630000,2,6.75863,-107.459,2.07853,0.5145
1640000,1,0.673538,-112.368,2.30572,0.43395
1650000,0,2.35146,-112.295,0.546782,0.4041
1660000,0,3.06215,-112.337,0.438221,0.381
1670000,1,3.77254,-107.342,1.82947,0.524343
1680000,0,3.48117,-112.79,0.297873,0.3996
1690000,1,5.52453,-108.113,0.0631624,0.4698
1700000,1,4.16536,-109.68,1.8482,0.50335
1710000,1,2.98764,-109.297,0.552187,0.51615
1720000,2,7.65946,-108.562,1.07941,0.5225
1730000,0,3.68914,-112.471,0.179936,0.439433
1740000,0,2.46781,-112.933,0.494114,0.4473
1750000,1,1.16542,-109.828,1.76081,0.421
1760000,0,3.37127,-115.558,0.223425,0.41765
1770000,0,2.15495,-111.945,1.23452,0.403
1780000,0,2.98628,-113.904,0.823457,0.3815
1790000,1,5.42844,-107.903,0.681276,0.4002
1800000,1,6.62096,-110.433,0.487022,0.409
1810000,1,-0.264551,-114.734,5.60642,0.4003
1820000,0,3.51617,-111.511,0.0751779,0.452229
1830000,1,6.47601,-112.727,1.03903,0.3783
1840000,0,3.32903,-111.599,0.290404,0.443491
1850000,1,5.27613,-114.611,1.24746,0.3902
1860000,0,3.17804,-112.902,0.302529,0.4066
1870000,0,3.05888,-112.07,0.547342,0.4263
1880000,1,4.02264,-112.136,0.472551,0.3892
1890000,1,3.64604,-108.615,1.25679,0.4456
