generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1260000,0,6.64864,88.9041,0.291976,0.36905
1270000,0,7.1973,86.456,0.178508,0.371233
1280000,2,21.2819,91.6513,1.67684,0.37025
1290000,0,6.97757,79.9979,0.399519,0.3832
1300000,4,27.5691,85.0912,1.72354,0.381367
1310000,1,14.2306,81.7719,0.545312,0.388233
1320000,0,7.36012,83.4895,0.0400198,0.3849
1330000,0,6.80033,95.9607,0.861415,0.3899
1340000,0,7.36346,86.1506,0.0360479,0.377667
1350000,0,6.2862,78.9627,0.650738,0.3937
1360000,2,18.491,85.5848,1.34725,0.3946
1370000,1,13.0662,87.394,1.3785,0.3906
1380000,0,5.96731,81.0452,1.04374,0.3929
1390000,0,7.17695,95.4855,0.0220087,0.38185
1400000,2,16.2611,88.5028,2.85838,0.4082
1410000,1,14.2748,88.9914,0.686255,0.389367
1420000,0,7.5799,91.7179,0.0902002,0.379583
1430000,0,7.52025,76.4286,0.0575374,0.377967
1440000,2,15.2241,81.1953,5.71684,0.367533
1450000,0,5.68588,90.7154,0.313732,0.377433
1460000,2,20.4952,89.574,0.883476,0.3725
1470000,2,20.9952,91.2593,0.501464,0.383233
1480000,3,25.6205,80.7013,0.93629,0.3704
1490000,0,6.62925,87.9735,0.284501,0.3785
1500000,1,10.8383,89.3839,2.48696,0.3548
1510000,0,5.87237,91.2838,0.96931,0.393612
1520000,0,5.50186,83.6926,1.13261,0.3799
1530000,0,7.19007,68.325,0.102062,0.4112
1540000,0,7.21356,87.2875,0.115074,0.38234
1550000,0,6.78916,77.4472,0.325296,0.4022
1560000,4,30.0075,86.7164,0.632096,0.3721
1570000,0,7.35416,85.7986,0.199596,0.3969
1580000,2,18.8619,85.4215,2.16105,0.3772
1590000,1,10.1915,94.6512,0.476565,0.381245
1600000,0,4.3886,97.5255,0.376292,0.38516
1610000,2,20.7918,92.3445,1.52095,0.3713
1620000,1,14.0568,85.7431,0.893821,0.3831
1630000,0,6.41577,86.0536,0.101466,0.373633
1640000,0,7.34965,80.8598,0.1658,0.38465
1650000,0,7.07897,78.8182,0.374634,0.3964
1660000,0,6.89723,83.2531,0.0559867,0.4253
1670000,0,6.91817,73.5281,0.150672,0.409133
1680000,1,13.4959,81.5183,0.750021,0.390344
1690000,0,7.21516,85.8587,0.258029,0.395867
1700000,0,5.69321,82.3669,0.917302,0.3957
1710000,0,6.38676,82.7679,0.97403,0.38655
1720000,0,7.43204,91.4176,0.0157683,0.3958
1730000,1,14.0092,84.9905,0.904522,0.3844
1740000,0,6.37405,91.6908,0.750504,0.3941
1750000,1,11.9175,89.4185,0.959512,0.4088
1760000,0,6.07277,90.1825,0.907694,0.3833
1770000,0,5.71063,82.9197,1.54012,0.38296
1780000,1,12.3757,79.3734,0.677861,0.39838
1790000,0,6.49392,84.5052,0.228032,0.3901
1800000,0,5.03578,75.6862,0.486874,0.3954
1810000,0,5.91082,82.1519,0.650623,0.40216
1820000,0,5.98461,79.6598,0.402073,0.4159
1830000,2,19.0893,99.6495,0.540005,0.389917
1840000,0,4.99696,89.6905,1.2275,0.40875
1850000,0,5.75541,90.1838,0.726847,0.408233
1860000,4,31.3804,68.7375,1.55543,0.395657
1870000,2,17.0698,88.048,3.23121,0.3897
1880000,1,13.0124,99.153,0.431195,0.4023
1890000,3,25.5825,83.3189,1.60575,0.388633
1900000,2,16.0438,78.727,2.89706,0.4034
1910000,0,5.54903,69.0538,0.350457,0.40818
1920000,0,7.10363,86.5712,0.22171,0.397633
1930000,4,33.0163,85.7831,2.58284,0.3944
1940000,0,5.82618,88.9576,0.0965631,0.40315
1950000,0,5.66269,80.0523,0.336665,0.3962
1960000,3,26.0793,84.2037,2.14318,0.39214
1970000,1,6.18195,77.5118,1.29613,0.4101
1980000,0,5.95503,89.0733,0.011583,0.387
1990000,0,6.95255,83.9195,0.537343,0.387383
2000000,0,7.04814,93.528,0.332842,0.390483
2010000,1,9.01788,92.7979,0.266313,0.3871
2020000,2,17.5366,75.5032,0.884663,0.3868
2030000,0,7.51479,84.9321,0.0820596,0.37785
2040000,1,11.967,88.025,0.752265,0.40695
2050000,0,5.01125,96.0088,2.53217,0.3715
2060000,0,7.44598,89.174,0.146191,0.383
2070000,1,14.1423,79.9452,0.578378,0.38315
2080000,1,12.8683,80.4062,2.35219,0.394042
2090000,1,13.9924,85.0157,0.622281,0.3816
2100000,3,24.1602,96.2941,2.08438,0.390225
2110000,2,19.9589,90.128,1.5622,0.39062
2120000,0,7.4437,81.7168,0.0841292,0.37984
2130000,1,12.9343,72.3777,0.436321,0.374
2140000,2,18.0472,78.3368,1.1077,0.3814
2150000,1,12.7391,69.3797,0.317329,0.382167
2160000,0,7.47102,87.2787,0.131929,0.3882
2170000,0,7.12174,78.3816,0.164311,0.3528
2180000,0,7.13676,84.3905,0.279544,0.390537
2190000,1,11.5384,89.7444,1.14816,0.38527
2200000,0,7.49465,91.3814,0.136507,0.3556
2210000,0,7.43564,88.1502,0.196797,0.3819
2220000,0,5.79011,77.315,0.954605,0.388012
2230000,0,7.51596,96.0532,0.000665944,0.38054
2240000,3,28.1956,81.1779,1.41282,0.366767
2250000,2,20.1237,92.1847,0.405462,0.386933
2260000,0,7.4514,84.6337,0.0725883,0.369
2270000,1,11.6815,81.3642,2.20788,0.3918
2280000,0,6.77401,78.6213,0.733173,0.3963
2290000,0,6.2472,85.1231,0.70483,0.378892
2300000,0,6.97175,84.6676,0.48516,0.375
2310000,0,7.32325,94.5887,0.338984,0.38505
2320000,0,5.35902,76.65,2.10172,0.3654
2330000,0,7.5395,85.3813,0.026696,0.3927
2340000,0,6.52947,86.6983,1.05159,0.37575
2350000,0,5.00282,92.8228,2.64242,0.37025
2360000,3,24.945,87.9619,1.824,0.3963
2370000,3,22.6787,91.7245,3.45482,0.376643
2380000,0,7.29995,87.8625,0.360912,0.37465
2390000,0,7.43502,90.0514,0.0768114,0.38494
2400000,0,5.38448,67.4131,2.14432,0.39285
2410000,0,7.32432,82.5931,0.301353,0.38535
2420000,0,7.08305,90.7881,0.327551,0.3764
2430000,0,6.56506,86.9155,1.08629,0.37085
2440000,0,6.64086,90.9336,0.298656,0.374225
2450000,1,12.1082,72.9326,0.90302,0.3577
2460000,0,7.29731,76.4166,0.328335,0.381733
2470000,0,5.54967,86.1971,1.2207,0.37535
2480000,0,7.41998,89.1489,0.117828,0.375556
2490000,1,13.7825,98.0013,0.811984,0.3756
2500000,0,6.21085,85.3509,0.658705,0.3787
2510000,2,15.6119,81.8247,2.40147,0.3488
2520000,0,7.22151,83.4864,0.130098,0.38929
2530000,0,7.00511,88.6875,0.283222,0.3735
2540000,0,6.78886,90.1133,0.670344,0.37184
2550000,1,12.4673,88.311,1.30167,0.390956
2560000,2,21.5431,91.9052,0.494019,0.37355
2570000,1,12.6425,86.979,0.10133,0.383225
2580000,0,6.52748,77.4487,0.967514,0.383533
2590000,1,13.3688,87.3993,0.576221,0.402
2600000,1,11.1991,77.4043,1.12126,0.380233
2610000,0,6.67329,91.7801,0.647946,0.3797
2620000,0,7.13205,82.813,0.0291407,0.3783
2630000,2,14.9978,92.1742,1.7864,0.379833
2640000,1,13.9701,92.396,0.638302,0.386467
2650000,1,12.3386,100.27,0.998977,0.3677
2660000,0,7.31532,88.3559,0.243866,0.391771
2670000,2,18.5414,96.5224,2.10949,0.36775
2680000,3,23.7646,82.9786,1.7159,0.37746
2690000,0,6.83028,88.6555,0.53099,0.3829
2700000,2,16.7081,84.7423,1.93844,0.38395
2710000,0,7.59081,89.7345,0.0438988,0.38385
2720000,0,6.97265,92.7094,0.629138,0.37316
2730000,0,7.60778,75.2092,0.0295169,0.382891
2740000,1,13.2414,84.2386,0.304641,0.396
2750000,5,32.1611,89.0032,3.79726,0.3909
2760000,3,26.2316,81.5638,2.25824,0.383333
2770000,0,7.23902,79.2605,0.389762,0.387143
2780000,0,6.84652,84.7362,0.671594,0.3765
2790000,2,17.4554,94.6028,1.11672,0.369633
2800000,0,7.36721,84.2852,0.144677,0.381122
2810000,0,7.23706,96.2285,0.25455,0.3697
2820000,1,15.2945,87.6669,0.107453,0.3737
2830000,1,13.3702,88.2575,0.348148,0.37155
2840000,0,6.49768,88.9424,0.549969,0.37565
2850000,0,7.21261,77.3796,0.188603,0.375
2860000,1,12.5484,88.0653,1.07812,0.383933
2870000,0,6.83167,82.4611,0.765425,0.38082
2880000,0,5.3426,88.2392,2.15243,0.3747
2890000,2,16.6973,77.5196,2.34719,0.38305
2900000,0,6.42632,82.5807,0.393468,0.38445
2910000,0,5.85679,87.7181,1.62838,0.3879
2920000,0,5.90083,81.9066,0.25677,0.4189
2930000,1,14.4759,86.7424,0.546254,0.38248
2940000,1,13.859,91.0445,0.616285,0.37798
2950000,4,33.0203,91.7525,4.13736,0.40775
2960000,0,5.18445,82.4487,0.249796,0.41095
2970000,3,26.1947,79.9122,2.34204,0.388967
2980000,2,19.6349,81.3556,1.32893,0.39805
2990000,0,6.31612,95.322,0.404804,0.3948
3000000,1,11.0772,90.7841,1.03557,0.362167
3010000,0,7.33837,86.0419,0.176524,0.3809
3020000,0,7.10837,84.6315,0.224607,0.3942
3030000,1,12.4768,88.0992,1.95101,0.389323
3040000,0,6.99155,91.1559,0.405753,0.3708
3050000,0,7.20629,86.8131,0.180015,0.39315
3060000,0,7.30519,88.4073,0.204773,0.3866
3070000,0,7.16009,72.5089,0.206378,0.3898
3080000,3,25.4346,84.7712,1.19325,0.397067
3090000,2,13.4496,82.9242,2.08246,0.39255
3100000,0,4.39336,83.3476,1.69931,0.3884
3110000,1,11.8593,72.0428,0.764275,0.3929
3120000,0,6.25287,87.8852,0.358387,0.38865
3130000,3,26.2316,91.1714,1.69752,0.388075
3140000,0,6.71384,87.4899,0.501718,0.3969
3150000,0,6.56208,86.9329,0.063947,0.3694
3160000,0,6.41403,88.8949,0.560303,0.401725
3170000,0,6.43297,83.8122,0.179931,0.401767
3180000,1,13.1674,89.922,1.87169,0.382378
3190000,0,5.56223,82.1137,0.652708,0.396467
3200000,0,5.75169,92.724,0.984687,0.394933
3210000,0,6.60118,80.7148,0.047985,0.37915
3220000,0,7.48655,92.3868,0.187619,0.373343
3230000,0,7.49273,88.8897,0.162327,0.3719
3240000,0,6.77266,85.5852,0.119035,0.374083
3250000,0,6.42317,80.1556,0.25808,0.400575
3260000,1,11.9648,74.6204,0.150506,0.3869
3270000,0,6.56514,87.7392,0.375973,0.4127
3280000,1,12.6976,94.9916,1.2361,0.380525
3290000,1,11.8258,86.5981,0.164441,0.4058
3300000,0,7.42537,77.0366,0.134258,0.3902
3310000,1,13.0449,87.2027,1.90554,0.3746
3320000,0,7.05814,91.72,0.0183657,0.3919
3330000,0,7.0488,84.7893,0.426545,0.391169
3340000,0,6.29919,72.1667,0.161141,0.39605
3350000,0,6.26467,97.9036,0.923715,0.3807
3360000,1,13.7766,91.3556,0.2967,0.3772
3370000,0,6.34207,87.0023,0.328632,0.378214
3380000,0,6.31288,78.221,0.823982,0.3732
3390000,0,6.43253,89.0417,1.10052,0.3564
3400000,0,6.47699,85.9437,1.04717,0.383978
3410000,0,5.48248,95.5252,2.07878,0.3675
3420000,0,7.61457,86.8026,0.0224848,0.37365
3430000,3,27.1857,81.0104,1.20867,0.38065
3440000,0,7.10659,86.408,0.208349,0.39915
