Species;Genus;SVL;HL;HW;ED;TD;ETD;IOD;IND;UEW;EN;SL;NS;HAL;FLL;LAL;FL;TFL;TL;THL;TSL;HLL
Rana_muscosa;Rana;51.4;17.7;19.8;NA;NA;NA;9.3;4.8;13.2;NA;8.5;NA;14;NA;NA;29.5;NA;30.7;28.5;NA;NA
Rana_omeimontis;Rana;56.27;17.57;17.76;5.72;4.92;NA;7.06;4;4.19;NA;8.47;NA;NA;26.35;NA;33.05;NA;36.6;33.98;NA;NA
Rana_ornativentris;Rana;53.88;17.7804;17.7804;5.9268;3.7716;NA;NA;4.3104;NA;4.8492;8.082;NA;13.47;26.4012;NA;28.5564;NA;31.2504;32.328;NA;NA
Rana_pirica;Rana;53.72;16.6532;17.7276;5.9092;3.2232;NA;NA;4.8348;NA;3.7604;7.5208;NA;14.5044;25.7856;NA;26.3228;NA;26.86;29.546;NA;NA
Rana_pyrenaica;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_sakuraii;Rana;44.76;16.51644;15.75552;5.6;0.9;NA;3;4;3.8;2.8;6.22164;NA;10.7;NA;NA;26.22936;NA;24.618;NA;NA;80.92608
Rana_sauteri;Rana;39.9;15.1;13;5.9;3.5;1.2;3.4;4.1;3.1;3.5;NA;NA;NA;NA;NA;21.5;NA;23.6;20.9;NA;NA
Rana_shuchinae;Rana;32.6;11.3;10.5;4.3;2.6;NA;2.9;3.2;2.3;NA;5.1;NA;7.9;NA;13.4;17;24.3;14.5;NA;NA;52
Rana_sierrae;Rana;55.1;18.9;21.7;NA;NA;NA;9.9;5.1;14.1;NA;8.9;NA;14.8;NA;NA;30.5;NA;32.1;30.7;NA;NA
Rana_tagoi;Rana;43.58;15.95028;15.77596;NA;NA;NA;NA;NA;NA;NA;6.18836;NA;NA;NA;NA;23.5332;NA;23.22814;NA;NA;75.00118
Rana_temporaria;Rana;52.83333333;16.9;15.5;4.566666667;3.633333333;1.433333333;NA;4.066666667;NA;2.9;NA;NA;13;NA;NA;29.56666667;NA;NA;NA;NA;87.96666667
Rana_tsushimensis;Rana;;;;;;;;;;;;;;;;;;;;;
Rana_zhengi;Rana;42;14.2;14.1;5.1;3.2;NA;3.2;4.1;3.1;NA;5.7;2.8;11;9.6;NA;23.7;35;25.4;22.9;NA;NA
Rana_zhenhaiensis;Rana;41.27;12.88;13.08;4.39;3.46;NA;5.48;3.2;3.56;NA;6.66;NA;NA;19.11;NA;24.71;NA;24.9;22.93;NA;NA
Rana_graeca;Rana ;;;;;;;;;;;;;;;;;;;;;
Rana_kunyuensis;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
