Species;Genus;phylo_subtree;simpleState;ECOTYPE;SVL (mm);sex_SVL;measure;reference (SVL);;;;
Lithobates_sevosa;Lithobates;AM;NAM;Terrestrial;77.95;both;mean;Nali et al 2014 AmNat;;;;
Rana_amurensis;Rana;EA;AS;Pond-dwelling;46.9;both;mean;Nali et al 2014 AmNat;;;;
Rana_asiatica;Rana;EA;AS;Pond-dwelling;53.6;both;mean;Nali et al 2014 AmNat;;;;
Rana_chaochiaoensis;Rana;EA;AS;Terrestrial;53.25;both;mean;Nali et al 2014 AmNat;;;;
Rana_chensinensis;Rana;EA;AS;Pond-dwelling;44.95;both;mean;Nali et al 2014 AmNat;;;;
Rana_huanrensis;Rana;EA;AS;Stream-dwelling;44.05;both;mean;Nali et al 2014 AmNat;;;;
Rana_japonica;Rana;EA;AS;Pond-dwelling;50.9;both;mean;Nali et al 2014 AmNat;;;;
Rana_johnsi;Rana;EA;AS;Stream-dwelling;44.8;both;mean;Nali et al 2014 AmNat;;;;
Rana_kukunoris;Rana;EA;AS;Stream-dwelling;59.1;both;mean;Nali et al 2014 AmNat;;;;
Rana_longicrus;Rana;EA;AS;Pond-dwelling;44.7;both;mean;Nali et al 2014 AmNat;;;;
Rana_omeimontis;Rana;EA;AS;Terrestrial;63.4;both;mean;Nali et al 2014 AmNat;;;;
Rana_ornativentris;Rana;EA;AS;Pond-dwelling;53.9;both;mean;Nali et al 2014 AmNat;;;;
Rana_shuchinae;Rana;EA;AS;Pond-dwelling;42.2;both;mean;Nali et al 2014 AmNat;;;;
Rana_tagoi;Rana;EA;AS;Terrestrial;40.15;both;mean;Nali et al 2014 AmNat;;;;
Rana_tsushimensis;Rana;EA;AS;Pond-dwelling;45.45;both;mean;Nali et al 2014 AmNat;;;;
Rana_zhenhaiensis;Rana;EA;AS;Pond-dwelling;47.25;both;mean;Nali et al 2014 AmNat;;;;
Lithobates_pustulosa;Lithobates;AM;MEX;Stream-dwelling;104.33;Male;individual;NHM London (1 single individual) ;;;;
Lithobates_macroglossa;Lithobates;AM;NEO;Stream-dwelling;62.83;Male;mean;NHM London (mean of 10 individuals);;;;
Lithobates_omiltemana;Lithobates;AM;MEX;Pond-dwelling;48.54;Male;mean;NHM London (mean of 5 individuals);;;;
Lithobates_magnaocularis;Lithobates;AM;MEX;Pond-dwelling;63.5;;;Quintéro-Diaz et al 2015;;;;
Rana_hanluica;Rana;EA;AS;Pond-dwelling;68.85;;;Shen et al 2007;;;;
Rana_dybowskii;Rana;EA;AS;Pond-dwelling;63.49;;;S-Y Yang 2000;;;;
Rana_sauteri;Rana;EA;AS;Terrestrial;47.25;;;W-S Huang 2004;;;;
Rana_zhengi;Rana;EA;AS;Stream-dwelling;42;Male;mean;Wu et al 2021;;;;
Lithobates_dunni;Lithobates;AM;MEX;Stream-dwelling;97;;;Zweifel 1957;;;;
Lithobates_montezumae;Lithobates;AM;MEX;Pond-dwelling;116;;;Zweifel 1957;;;;
