;ARIDavg;ARIDmax;ARIDmin;ARIDsd;NDVIavg;NDVImax;NDVImin;NDVIsd;PETavg;PETmax;PETmin;PETsd;PRECavg;PRECmax;PRECmin;PRECsd;SRADavg;SRADmax;SRADmin;SRADsd;TAVGavg;TAVGsd;TMAXavg;TMAXsd;TMINavg;TMINsd;VAPRavg;VAPRmax;VAPRmin;VAPRsd;ELEVavg;ELEVmax;ELEVmin;ELEVsd;WINDavg;WINDmax;WINDmin;WINDsd
Rana_huanrensis;1.058074446;1.621799946;0;0.184913262;107.3292079;255;32;42.35871906;999.7492013;1258;686;117.3072521;1070.216036;1519;586;207.565439;161717.4477;175170;151371;5554.500397;7.758249094;10.71148074;13.17970828;10.31851577;2.336727765;11.13140831;0.955153714;2.124547735;0.235245284;0.696584247;487.3964365;1942;7;420.7458193;2.191287492;2.70203964;1.78567855;0.318350055
Rana_iberica;0.979319031;1.684000015;0.2315;0.336247826;202.856383;255;146;21.60277294;1222.010381;1726;964;176.7710479;1156.185366;1797;351;328.3501244;173039.9854;203427;146125;16378.21522;12.29390456;4.98177192;16.91521464;5.781509132;7.672588628;4.199095482;1.041766653;1.399796313;0.752500565;0.246011008;616.3341463;1590;38;343.5717441;3.042051605;3.490344743;2.619119091;0.261099041
Rana_japonica;1.618867382;3.386399984;0;0.43886588;157.8779841;255;11;66.72519037;1083.62521;1465;592;142.0258869;1770.942595;3057;1110;358.2828125;156683.8909;179780;140523;8731.69127;12.37484453;8.362850963;16.44984773;8.221710127;8.299859537;8.518220011;1.239844611;2.420242846;0.484959557;0.709300741;361.6923077;1782;-1;300.3853111;3.298733085;3.717511524;2.959030765;0.268637419
Rana_johnsi;1.175536927;2.029099941;0.547599971;0.213858902;194.3866279;253;79;32.12802855;1272.386145;1835;849;227.4066912;1475.716589;3053;805;344.0311047;175570.0874;232831;121700;26404.00732;18.51109712;5.233879079;22.67578326;5.021896896;14.34638839;5.459974713;1.747237245;2.512648186;1.014612198;0.56643373;820.3415359;1821;235;258.0921547;1.658813051;1.887276188;1.487019408;0.130258363
Rana_kukunoris;0.500523044;1.745599985;0.0058;0.305986407;84.89509888;255;6;40.15899127;1152.485667;2249;488;346.1434468;483.9267076;1459;13;248.2635055;177492.3193;208850;124790;17890.42815;2.77642861;8.40154749;9.496583902;7.781919683;-3.943718214;9.024519971;0.495028815;1.011814535;0.141478876;0.321223859;3128.86416;5055;534;1132.159357;2.802869928;3.418073961;2.419251146;0.36435585
Rana_latastei;0.928697847;2.443799973;0;0.326452895;160.8461538;191;126;15.29422968;1045.434783;1152;862;38.75005972;989.9855072;2223;609;304.9199245;152708.5362;172289;140179;4768.770616;12.46520453;7.595249128;17.08545312;8.206208975;7.844888144;6.999430386;1.136176016;1.859932811;0.57119471;0.49015204;146.9057971;901;-4;186.8928374;1.383008565;1.842610936;1.095279281;0.249045733
Rana_longicrus;1.925144441;2.736399889;1.211799979;0.494307615;206.2;247;112;40.54298131;1313.888889;1477;1074;111.0658993;2517.25;3360;1841;442.1189344;182573.5833;193126;174732;5942.548311;20.06489638;4.536732934;23.08374627;4.585747333;17.04619236;4.490913159;1.99989284;2.75635313;1.251101802;0.580440811;421.9583333;1025;49;311.1199236;3.219163279;3.558952928;2.927543779;0.183201504
Rana_luteiventris;0.790072011;6.553500175;0;0.941292961;58.08626692;255;1;42.76818391;1134.501857;2142;474;387.3417662;673.1426623;4801;126;551.489886;158761.2069;222100;105806;30657.82296;4.009877889;8.116474205;10.34618685;9.301799621;-2.326426644;6.940228873;0.521803455;0.874607299;0.278707119;0.217458157;1462.746548;3464;42;543.8439094;2.945438092;3.23068622;2.73920088;0.165828221
Rana_macrocnemis;0.587489393;2.194499969;0.172499999;0.334418094;116.6810431;255;14;48.03049328;1252.241534;2001;508;215.7456894;686.6728889;2129;232;288.3388381;181119.7827;215143;148944;18294.63943;9.3499795;7.869069994;14.50397339;8.848288281;4.195990192;6.895906502;0.826139289;1.348675762;0.407081138;0.34347116;1120.164444;3431;-18;682.3729961;2.25867628;2.473500892;1.993442938;0.147497297
Rana_muscosa;0.319989285;0.582899988;0.089900002;0.130682169;107.4444444;181;20;51.04579515;1917.035714;2546;1391;313.2600957;583.9230769;844;204;157.2372302;223843.7436;230977;216949;3894.273115;10.38536909;6.376122945;17.58633761;7.286085594;3.184232369;5.470620544;0.559020353;0.809357059;0.365551278;0.159894502;1805.615385;3429;473;839.0583574;4.091597755;4.693769198;3.647301289;0.349463831
Rana_omeimontis;1.132989453;1.745599985;0.638599992;0.14463198;159.5682159;240;52;21.16351492;1019.638543;1218;488;91.25965745;1155.89699;1591;666;186.9362621;146864.1612;160393;121700;7992.995349;14.67900079;7.468949417;18.44656958;7.790982755;10.91141884;7.154746747;1.423588035;2.433627616;0.634954731;0.652368077;904.3685619;4414;179;700.3690803;1.622317138;1.89131889;1.426597659;0.15920519
Rana_ornativentris;1.634975177;3.386399984;0;0.462768034;156.3511111;255;11;66.77130007;1067.600575;1465;592;144.583873;1752.804348;3057;1081;371.9778362;156495.4002;177964;139353;8873.555407;11.91817786;8.404005309;16.02529635;8.263871875;7.81108857;8.558319776;1.209024518;2.369728724;0.469795485;0.696016637;422.7579051;2223;-1;362.0162049;3.347222347;3.769532268;2.991707804;0.284758512
Rana_pirica;1.312011205;3.040699959;0;0.322991751;78.58471761;255;18;71.93518123;709.5816993;997;478;91.47724663;946.3899557;1453;583;238.0283008;143018.3988;153075;136181;3245.947464;2.301369855;10.71077402;6.325097313;10.54931158;-1.722394172;10.87872138;0.715708502;1.581535789;0.203761034;0.49389026;250.8803545;1412;2;218.1006272;3.572869451;3.955238891;2.986890713;0.346829228
Rana_pyrenaica;0.784680009;0.985000014;0.5449;0.156864588;124.6666667;203;85;67.84049921;1217.8;1412;1125;113.7396149;1048.444444;1291;799;150.603877;171872.5556;177866;165873;4015.730199;7.487085727;6.018401712;12.36522461;7.121347427;2.609789352;4.936143334;0.729841663;1.080211123;0.458511101;0.231125256;1477;2077;1075;355.680334;4.306467584;4.906305578;3.748333322;0.359497988
Rana_sakuraii;1.795734544;3.158699989;0.91109997;0.456325544;149.05;234;35;59.62666552;1008.9;1258;689;117.3070111;1771.617647;2335;1081;295.679922;157521.7412;167539;148972;4785.633622;9.804657008;8.630646522;14.3642102;8.465598349;5.245119574;8.81335017;1.061117253;2.085827119;0.406181567;0.620855113;910.1294118;2223;146;415.7084432;3.533496118;4.071908158;3.097748625;0.344433559
Rana_zhengi;1.366294735;1.843500018;1.233899951;0.154917719;183.6875;213;158;17.71898699;1120.421053;1243;1000;67.52638644;1512.15625;1661;1209;92.55377142;159577.7813;170193;134529;7430.98077;16.26034831;7.310998656;20.10861588;7.400352395;12.41220441;7.229886141;1.574462369;2.598145325;0.692046097;0.71300554;702.6875;1529;248;260.3853766;1.883311186;2.065242186;1.769468732;0.085184924
Rana_sauteri;2.543517667;4.078100204;1.685299993;0.692906303;227.1428571;247;199;13.74512901;1148.441176;1413;871;168.2302159;2795.411765;3808;2058;371.7768781;183629.8235;196808;174990;5933.42174;16.36212302;3.714369183;19.27500731;3.581299748;13.44914462;3.850943138;1.654985311;2.229956931;1.050793665;0.45143458;1306.568627;2551;268;640.7651131;3.603604652;3.905119658;3.316579174;0.201128168
Rana_shuchinae;0.790245678;1.33070004;0.523599982;0.175108889;163.4230769;229;58;34.74520486;1044.382716;1369;700;139.4446636;816.0084034;1303;615;136.1238529;168045.8571;176538;139173;8762.495132;6.566864319;5.683190824;11.64705793;4.976263017;1.486788168;6.404953378;0.751928081;1.322481721;0.299698949;0.387517439;3216.176471;4497;1437;588.153944;2.388647404;2.939890759;1.973004196;0.319905324
Rana_sierrae;0.542900008;0.604499996;0.44659999;0.071588241;37.5;40;35;3.535533906;1402.4;1477;1333;59.34896798;921;1102;778;153.6879956;207009.75;210909;202040;3821.158234;3.330302078;6.613726867;10.38209902;7.58374645;-3.720791674;5.654846098;0.366450521;0.549549997;0.250212498;0.103925749;2616.5;3269;2251;467.7281974;3.780348952;4.179249942;3.51493758;0.252746403
Rana_tagoi;1.636090457;4.504799843;0;0.471408127;156.6622517;255;11;66.70253814;1070.450704;1465;592;145.364392;1758.477626;3227;1081;376.1492205;156682.7743;177964;139353;8869.430774;11.98719952;8.386852828;16.08557834;8.245194887;7.888853168;8.542563254;1.214579831;2.376882096;0.472761368;0.697661907;418.9513619;2223;-1;361.1821545;3.353198316;3.771074863;3.000437263;0.281187344
Rana_temporaria;0.931411272;6.553500175;0;0.455971981;99.50093592;255;1;74.77869752;752.7770609;1490;244;166.6089645;669.0964724;3542;234;260.9225348;119737.7625;184876;85720;17624.9649;3.845584346;9.230876766;8.079956864;9.954054731;-0.388782959;8.533395427;0.719935085;1.348081635;0.308399304;0.375307008;251.4515251;2863;-5;278.1465784;3.225070039;3.477888425;2.738951138;0.2686084
Rana_tsushimensis;1.56825;1.568600059;1.567899942;0.000495057;240.5;255;226;20.50609665;1217;1251;1183;48.08326112;1900.5;2022;1779;171.8269478;156473.5;156552;156395;111.0157646;14.56156663;7.554660837;17.97441842;7.154972055;11.14954975;7.963281762;1.333543216;2.661640406;0.470858872;0.789281996;130;142;118;16.97056275;3.40007773;3.850292921;3.018580675;0.29559461
Rana_zhenhaiensis;1.218432327;2.218400002;0;0.208872186;169.1393643;255;65;42.63446408;1245.498957;1565;889;78.70245167;1515.271771;2223;918;237.0076702;172073.1444;196134;155315;6583.570896;17.51354996;7.66086814;21.44958313;7.61561875;13.57751264;7.71692184;1.699951883;2.851042464;0.739780039;0.791692525;266.0228592;1189;0;237.0091819;2.257583421;2.445027229;2.085529306;0.106034736
